Loading...,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-05-01,Entire Country,Entire Country,0000,0.02,0.07,38.10,2023-04-29,3823.19,0.17,0.21,0.18,0.16,0.14,0.12,0.12,0.12,0.10,0.09,0.09,0.08,0.07,0.07,0.07
2023-05-01,dolnośląskie,Bolesławiecki,0201,0.00,0.03,31.78,2023-04-29,8.98,0.17,0.24,0.17,0.14,0.11,0.06,0.06,0.06,0.00,0.00,0.00,0.02,0.02,0.02,0.03
2023-05-01,dolnośląskie,Dzierżoniowski,0202,0.00,0.07,35.06,2023-04-29,9.99,0.14,0.17,0.11,0.09,0.06,0.06,0.06,0.06,0.04,0.04,0.09,0.07,0.07,0.07,0.07
2023-05-01,dolnośląskie,Głogowski,0203,0.00,0.03,42.51,2023-04-29,8.84,0.10,0.13,0.11,0.11,0.08,0.08,0.08,0.13,0.10,0.10,0.05,0.05,0.08,0.08,0.03
2023-05-01,dolnośląskie,Górowski,0204,0.00,0.00,28.22,2023-04-29,3.46,0.17,0.17,0.17,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Jaworski,0205,0.00,0.00,35.58,2023-04-29,4.97,0.09,0.11,0.11,0.11,0.03,0.03,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.00,0.00
2023-05-01,dolnośląskie,Karkonoski,0206,0.00,0.05,29.22,2023-04-29,6.33,0.14,0.14,0.09,0.05,0.02,0.02,0.05,0.05,0.07,0.07,0.09,0.09,0.07,0.05,0.05
2023-05-01,dolnośląskie,Kamiennogórski,0207,0.00,0.03,36.62,2023-04-29,4.28,0.13,0.20,0.16,0.16,0.16,0.16,0.16,0.16,0.10,0.10,0.07,0.07,0.03,0.03,0.03
2023-05-01,dolnośląskie,Kłodzki,0208,0.00,0.01,35.80,2023-04-29,15.63,0.06,0.08,0.08,0.08,0.05,0.04,0.04,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.01
2023-05-01,dolnośląskie,Legnicki,0209,0.00,0.08,32.11,2023-04-29,5.51,0.08,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.05,0.10,0.08,0.08,0.08
2023-05-01,dolnośląskie,Lubański,0210,0.00,0.03,31.74,2023-04-29,5.39,0.05,0.05,0.03,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.03,0.05,0.03,0.03,0.03
2023-05-01,dolnośląskie,Lubiński,0211,0.00,0.09,43.70,2023-04-29,10.59,0.15,0.17,0.15,0.11,0.09,0.08,0.08,0.08,0.05,0.08,0.07,0.09,0.09,0.09,0.09
2023-05-01,dolnośląskie,Lwówecki,0212,0.22,0.03,39.36,2023-04-29,4.56,0.22,0.22,0.13,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03
2023-05-01,dolnośląskie,Milicki,0213,0.00,0.08,35.47,2023-04-29,3.68,0.27,0.35,0.31,0.23,0.15,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2023-05-01,dolnośląskie,Oleśnicki,0214,0.00,0.00,52.73,2023-04-29,10.73,0.15,0.13,0.09,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Oławski,0215,0.00,0.02,25.62,2023-04-29,4.36,0.07,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.09,0.06,0.04,0.02,0.02,0.02,0.02
2023-05-01,dolnośląskie,Polkowicki,0216,0.00,0.00,27.46,2023-04-29,6.30,0.18,0.18,0.20,0.20,0.11,0.07,0.07,0.07,0.07,0.05,0.00,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Strzeliński,0217,0.00,0.07,35.70,2023-04-29,4.32,0.10,0.10,0.10,0.07,0.07,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.07,0.07,0.07
2023-05-01,dolnośląskie,Średzki,0218,0.00,0.00,25.08,2023-04-29,5.55,0.18,0.23,0.18,0.13,0.10,0.08,0.08,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Świdnicki,0219,0.00,0.07,36.55,2023-04-29,15.60,0.10,0.12,0.11,0.07,0.08,0.07,0.07,0.08,0.06,0.06,0.06,0.07,0.08,0.08,0.07
2023-05-01,dolnośląskie,Trzebnicki,0220,0.00,0.07,32.66,2023-04-29,8.52,0.18,0.22,0.13,0.10,0.08,0.07,0.05,0.05,0.07,0.07,0.08,0.08,0.07,0.07,0.07
2023-05-01,dolnośląskie,Wałbrzyski,0221,0.00,0.00,24.37,2023-04-29,5.51,0.13,0.15,0.18,0.18,0.21,0.15,0.13,0.10,0.08,0.03,0.03,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Wołowski,0222,0.00,0.00,35.24,2023-04-29,4.66,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,dolnośląskie,Wrocławski,0223,0.00,0.09,33.11,2023-04-29,15.63,0.18,0.24,0.24,0.18,0.15,0.16,0.16,0.16,0.12,0.11,0.10,0.10,0.09,0.09,0.09
2023-05-01,dolnośląskie,Ząbkowicki,0224,0.00,0.00,34.70,2023-04-29,6.41,0.07,0.13,0.13,0.13,0.11,0.16,0.16,0.16,0.09,0.09,0.04,0.04,0.00,0.00,0.00
2023-05-01,dolnośląskie,Zgorzelecki,0225,0.00,0.05,35.61,2023-04-29,8.84,0.19,0.26,0.13,0.13,0.13,0.11,0.11,0.11,0.06,0.05,0.05,0.05,0.05,0.05,0.05
2023-05-01,dolnośląskie,Złotoryjski,0226,0.00,0.03,37.44,2023-04-29,4.30,0.13,0.13,0.07,0.13,0.16,0.10,0.10,0.10,0.10,0.13,0.07,0.03,0.03,0.03,0.03
2023-05-01,dolnośląskie,Jelenia Góra,0261,0.00,0.07,54.45,2023-04-29,7.83,0.09,0.13,0.18,0.16,0.15,0.15,0.13,0.13,0.09,0.06,0.06,0.06,0.07,0.07,0.07
2023-05-01,dolnośląskie,Legnica,0262,0.00,0.09,43.85,2023-04-29,9.84,0.14,0.19,0.20,0.22,0.17,0.19,0.19,0.19,0.19,0.17,0.14,0.10,0.09,0.09,0.09
2023-05-01,dolnośląskie,Wrocław,0264,0.02,0.05,69.69,2023-04-29,64.19,0.17,0.22,0.19,0.14,0.13,0.12,0.12,0.11,0.07,0.06,0.06,0.05,0.05,0.05,0.05
2023-05-01,dolnośląskie,Wałbrzych,0265,0.09,0.10,55.52,2023-04-29,11.00,0.08,0.09,0.08,0.06,0.05,0.08,0.08,0.08,0.09,0.10,0.13,0.14,0.10,0.10,0.10
2023-05-01,kujawsko-pomorskie,Aleksandrowski,0401,0.00,0.03,45.77,2023-04-29,5.49,0.05,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03
2023-05-01,kujawsko-pomorskie,Brodnicki,0402,0.00,0.02,32.86,2023-04-29,7.90,0.07,0.05,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02
2023-05-01,kujawsko-pomorskie,Bydgoski,0403,0.00,0.05,28.32,2023-04-29,12.04,0.18,0.19,0.10,0.10,0.10,0.10,0.10,0.10,0.07,0.05,0.02,0.02,0.04,0.04,0.05
2023-05-01,kujawsko-pomorskie,Chełmiński,0404,0.00,0.03,37.12,2023-04-29,5.17,0.11,0.19,0.11,0.11,0.17,0.14,0.14,0.14,0.08,0.08,0.08,0.03,0.03,0.03,0.03
2023-05-01,kujawsko-pomorskie,Golubsko-Dobrzyński,0405,0.00,0.03,25.36,2023-04-29,4.49,0.06,0.06,0.06,0.09,0.06,0.09,0.09,0.09,0.09,0.09,0.06,0.06,0.03,0.03,0.03
2023-05-01,kujawsko-pomorskie,Grudziądzki,0406,0.00,0.11,21.38,2023-04-29,4.03,0.11,0.07,0.11,0.04,0.11,0.11,0.11,0.11,0.11,0.07,0.11,0.04,0.11,0.11,0.11
2023-05-01,kujawsko-pomorskie,Inowrocławski,0407,0.06,0.05,30.31,2023-04-29,15.85,0.20,0.27,0.27,0.18,0.15,0.15,0.15,0.15,0.09,0.04,0.05,0.05,0.05,0.05,0.05
2023-05-01,kujawsko-pomorskie,Lipnowski,0408,0.15,0.00,28.69,2023-04-29,6.55,0.04,0.06,0.09,0.09,0.09,0.06,0.06,0.06,0.04,0.02,0.02,0.00,0.00,0.00,0.00
2023-05-01,kujawsko-pomorskie,Mogileński,0409,0.00,0.00,37.27,2023-04-29,4.55,0.06,0.06,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,kujawsko-pomorskie,Nakielski,0410,0.00,0.02,39.27,2023-04-29,8.61,0.08,0.10,0.08,0.07,0.05,0.07,0.07,0.07,0.05,0.03,0.03,0.03,0.02,0.02,0.02
2023-05-01,kujawsko-pomorskie,Radziejowski,0411,0.00,0.07,32.74,2023-04-29,4.00,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.04,0.04,0.04,0.07
2023-05-01,kujawsko-pomorskie,Rypiński,0412,0.00,0.00,33.16,2023-04-29,4.34,0.07,0.07,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,kujawsko-pomorskie,Sępoleński,0413,0.00,0.03,36.95,2023-04-29,4.08,0.07,0.14,0.14,0.14,0.14,0.07,0.07,0.07,0.00,0.03,0.03,0.03,0.03,0.03,0.03
2023-05-01,kujawsko-pomorskie,Świecki,0414,0.00,0.04,35.51,2023-04-29,9.87,0.25,0.25,0.19,0.13,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04
2023-05-01,kujawsko-pomorskie,Toruński,0415,0.18,0.01,20.31,2023-04-29,10.96,0.08,0.13,0.14,0.14,0.10,0.12,0.12,0.12,0.06,0.05,0.05,0.04,0.01,0.01,0.01
2023-05-01,kujawsko-pomorskie,Tucholski,0416,0.00,0.00,33.02,2023-04-29,4.83,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-05-01,kujawsko-pomorskie,Wąbrzeski,0417,0.00,0.00,32.61,2023-04-29,3.40,0.13,0.17,0.21,0.17,0.17,0.12,0.12,0.12,0.08,0.04,0.04,0.04,0.00,0.00,0.00
2023-05-01,kujawsko-pomorskie,Włocławski,0418,0.00,0.08,25.25,2023-04-29,8.56,0.22,0.25,0.13,0.12,0.12,0.13,0.13,0.13,0.10,0.13,0.13,0.13,0.08,0.08,0.08
2023-05-01,kujawsko-pomorskie,Żniński,0419,0.00,0.02,24.42,2023-04-29,6.99,0.33,0.37,0.27,0.22,0.16,0.08,0.08,0.08,0.06,0.06,0.06,0.02,0.02,0.02,0.02
2023-05-01,kujawsko-pomorskie,Bydgoszcz,0461,0.03,0.05,63.80,2023-04-29,34.41,0.10,0.13,0.11,0.10,0.10,0.10,0.10,0.10,0.07,0.07,0.07,0.06,0.05,0.05,0.05
2023-05-01,kujawsko-pomorskie,Grudziądz,0462,0.00,0.03,50.14,2023-04-29,9.36,0.29,0.37,0.30,0.29,0.24,0.20,0.20,0.21,0.14,0.14,0.09,0.06,0.05,0.05,0.03
2023-05-01,kujawsko-pomorskie,Toruń,0463,0.10,0.04,61.56,2023-04-29,19.86,0.16,0.16,0.11,0.08,0.06,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04
2023-05-01,kujawsko-pomorskie,Włocławek,0464,0.00,0.04,47.41,2023-04-29,10.86,0.10,0.14,0.13,0.10,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.04,0.04,0.04
2023-05-01,lubelskie,Bialski,0601,0.00,0.26,20.01,2023-04-29,11.00,0.37,0.52,0.50,0.59,0.56,0.53,0.52,0.52,0.49,0.46,0.27,0.23,0.26,0.26,0.26
2023-05-01,lubelskie,Biłgorajski,0602,0.00,0.07,21.40,2023-04-29,10.03,0.23,0.27,0.26,0.21,0.16,0.11,0.11,0.11,0.09,0.09,0.10,0.09,0.07,0.07,0.07
