Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-03-01,Entire Country,Entire Country,0000,0.01,0.03,39.37,2024-02-24,3823.19,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03
2024-03-01,dolnośląskie,Bolesławiecki,0201,0.00,0.08,32.69,2024-02-24,8.98,0.06,0.05,0.05,0.05,0.02,0.03,0.03,0.03,0.06,0.06,0.06,0.05,0.06,0.06,0.08
2024-03-01,dolnośląskie,Dzierżoniowski,0202,0.00,0.00,36.37,2024-02-24,9.99,0.11,0.16,0.16,0.16,0.19,0.17,0.16,0.10,0.06,0.06,0.06,0.01,0.00,0.00,0.00
2024-03-01,dolnośląskie,Głogowski,0203,0.00,0.00,44.21,2024-02-24,8.84,0.10,0.14,0.14,0.14,0.08,0.11,0.11,0.18,0.11,0.11,0.11,0.10,0.06,0.06,0.00
2024-03-01,dolnośląskie,Górowski,0204,0.29,0.00,28.47,2024-02-24,3.46,0.00,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,dolnośląskie,Jaworski,0205,0.00,0.00,37.07,2024-02-24,4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,dolnośląskie,Karkonoski,0206,0.00,0.00,30.05,2024-02-24,6.33,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,dolnośląskie,Kamiennogórski,0207,0.00,0.03,37.43,2024-02-24,4.28,0.07,0.13,0.13,0.13,0.10,0.10,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2024-03-01,dolnośląskie,Kłodzki,0208,0.00,0.00,36.63,2024-02-24,15.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,dolnośląskie,Legnicki,0209,0.00,0.00,33.23,2024-02-24,5.51,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00
