1d-7d,,,,,,,Średnia z 7dni,Date,Zamknięte przypadki,Suma Zgonów,DR,Przyrost dzienny ozdrowieńców,Przyrost dzienny zgonów,Date1,Prognoza zgonów,,,,FND
,,,,,,,,,,,,,,,,,,,
21045,18775,21049,17259,10896,14396,25052,18353,2021-03-17,1641197,48032,2.93,6001,453,2021-04-07,537,,,,
18775,21049,17259,10896,14396,25052,27278,19244,2021-03-18,1652220,48388,2.93,10667,356,2021-04-08,564,,,,
21049,17259,10896,14396,25052,27278,25998,20275,2021-03-19,1669079,48807,2.92,16440,419,2021-04-09,593,,,,
17259,10896,14396,25052,27278,25998,26405,21041,2021-03-20,1689206,49156,2.91,19778,349,2021-04-10,612,,,,
10896,14396,25052,27278,25998,26405,21849,21696,2021-03-21,1706362,49296,2.89,17016,140,2021-04-11,627,,,,
14396,25052,27278,25998,26405,21849,14578,22222,2021-03-22,1725747,49361,2.86,19320,65,2021-04-12,636,,,,
25052,27278,25998,26405,21849,14578,16741,22557,2021-03-23,1744742,49757,2.85,18599,396,2021-04-13,643,,,,
27278,25998,26405,21849,14578,16741,29978,23261,2021-03-24,1755586,50332,2.87,10269,575,2021-04-14,667,,,,
25998,26405,21849,14578,16741,29978,34151,24243,2021-03-25,1771729,50852,2.87,15623,520,2021-04-15,696,,,,
26405,21849,14578,16741,29978,34151,35143,25549,2021-03-26,1797102,51295,2.85,24930,443,2021-04-16,729,,,,
21849,14578,16741,29978,34151,35143,31757,26314,2021-03-27,1826041,51743,2.83,28491,448,2021-04-17,746,,,,
14578,16741,29978,34151,35143,31757,29253,27372,2021-03-28,1850275,51874,2.80,24103,131,2021-04-18,767,,,,
16741,29978,34151,35143,31757,29253,16965,27713,2021-03-29,1876018,51922,2.77,25695,48,2021-04-19,767,,,,
29978,34151,35143,31757,29253,16965,20870,28302,2021-03-30,1901199,52383,2.76,24720,461,2021-04-20,780,,,,
34151,35143,31757,29253,16965,20870,32874,28716,2021-03-31,1916405,53036,2.77,14553,653,2021-04-21,795,,,,
35143,31757,29253,16965,20870,32874,35251,28873,2021-04-01,1938012,53657,2.77,20986,621,2021-04-22,799,,,,
31757,29253,16965,20870,32874,35251,30546,28217,2021-04-02,1968224,54154,2.75,29715,497,2021-04-23,776,,,,
29253,16965,20870,32874,35251,30546,28073,27690,2021-04-03,2004191,54725,2.73,35396,571,2021-04-24,756,,,,
16965,20870,32874,35251,30546,28073,22947,26789,2021-04-04,2037110,54929,2.70,32715,204,2021-04-25,722,,,,
20870,32874,35251,30546,28073,22947,9902,25780,2021-04-05,2068206,54993,2.66,31032,64,2021-04-26,685,,,,
32874,35251,30546,28073,22947,9902,8245,23977,2021-04-06,2095784,55053,2.63,27518,60,2021-04-27,630,,,,
35251,30546,28073,22947,9902,8245,14910,21411,2021-04-07,2115706,55691,2.63,19284,638,2021-04-28,564,,,,
30546,28073,22947,9902,8245,14910,27887,20359,2021-04-08,2139633,56645,2.65,22973,954,2021-04-29,539,,,,
28073,22947,9902,8245,14910,27887,28487,20064,2021-04-09,2172684,57413,2.64,32283,768,2021-04-30,530,,,,
22947,9902,8245,14910,27887,28487,24856,19605,2021-04-10,2209717,58162,2.63,36284,749,2021-05-01,516,,,,
9902,8245,14910,27887,28487,24856,21703,19427,2021-04-11,2238604,58407,2.61,28642,245,2021-05-02,507,,,,
8245,14910,27887,28487,24856,21703,12013,19729,2021-04-12,2265404,58468,2.58,26739,61,2021-05-03,509,,,,
14910,27887,28487,24856,21703,12013,13227,20440,2021-04-13,2288988,59112,2.58,22940,644,2021-05-04,528,,,,
27887,28487,24856,21703,12013,13227,21283,21351,2021-04-14,2300919,59915,2.60,11128,803,2021-05-05,556,,,,
28487,24856,21703,12013,13227,21283,21130,20386,2021-04-15,2311284,60597,2.62,9683,682,2021-05-06,534,,,,
24856,21703,12013,13227,21283,21130,17847,18866,2021-04-16,2329252,61192,2.63,17373,595,2021-05-07,496,,,,
21703,12013,13227,21283,21130,17847,15763,17567,2021-04-17,2360488,61808,2.62,30620,616,2021-05-08,460,,,,
