7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
2425.857143,2085,4836.142857,2023-12-09,50.16099016,-,-,48.77893226,196.4285714,8.097285201,2023-12-16,2.319492977,2.531085356
2433.714286,2084.285714,4877.285714,2023-12-10,49.89894848,-,-,48.98214762,192.4285714,7.90678563,2023-12-17,2.340027416,-
2431.142857,2083.714286,4839.428571,2023-12-11,50.23615539,-,-,48.88173816,194.7142857,8.009166765,2023-12-18,2.322501028,-
2517.571429,2168.428571,5023,2023-12-12,50.12087256,-,-,47.39426284,19.71428571,0.7830675821,2023-12-19,2.316424007,-
2577,2205.571429,5109.285714,2023-12-13,50.43757864,-,-,46.49616092,-120.1428571,-4.66212096,2023-12-20,2.316536045,-
2627.428571,2252.285714,5270.857143,2023-12-14,49.84822203,-,-,45.70048309,-262.4285714,-9.988038278,2023-12-21,2.340225802,-
2622.142857,2273.285714,5314.571429,2023-12-15,49.33874523,-,-,45.36770406,-281.4285714,-10.73277036,2023-12-22,2.337836989,-
2622.285714,2271.428571,5375.857143,2023-12-16,48.77893226,196.4285714,8.097285201,44.32957659,-380.2857143,-14.50207017,2023-12-23,2.36672956,-
2626.142857,2271.857143,5361.428571,2023-12-17,48.98214762,192.4285714,7.90678563,44.43654765,-393.1428571,-14.97035304,2023-12-24,2.359932088,-
2625.857143,2272,5371.857143,2023-12-18,48.88173816,194.7142857,8.009166765,44.41241116,-403.1428571,-15.35280997,2023-12-25,2.364373742,-
2537.285714,2238.142857,5353.571429,2023-12-19,47.39426284,19.71428571,0.7830675821,42.4395645,-894.5714286,-35.25702382,2023-12-26,2.391970384,-
2456.857143,2209.857143,5284,2023-12-20,46.49616092,-120.1428571,-4.66212096,39.83163702,-1260.428571,-51.30247703,2023-12-27,2.39110479,-
2365,2167.571429,5175,2023-12-21,45.70048309,-262.4285714,-9.988038278,38.59813522,-1188.142857,-50.23859861,2023-12-28,2.387464575,-
2340.714286,2147.571429,5159.428571,2023-12-22,45.36770406,-281.4285714,-10.73277036,36.85345884,-1266.857143,-54.12267318,2023-12-29,2.402447948,-
2242,2125.142857,5057.571429,2023-12-23,44.32957659,-380.2857143,-14.50207017,36.61277603,-1180.857143,-52.66981012,2023-12-30,2.379873622,-
2233,2125,5025.142857,2023-12-24,44.43654765,-393.1428571,-14.97035304,36.34011812,-1169.428571,-52.37028981,2023-12-31,2.364773109,-
2222.714286,2125.142857,5004.714286,2023-12-25,44.41241116,-403.1428571,-15.35280997,36.24328285,-1162.857143,-52.31698695,2024-01-01,2.355001344,-
1642.714286,1547.285714,3870.714286,2023-12-26,42.4395645,-894.5714286,-35.25702382,36.2743654,-587.2857143,-35.75093486,2024-01-02,2.501615733,-
1196.428571,1122,3003.714286,2023-12-27,39.83163702,-1260.428571,-51.30247703,36.72846938,111,9.27761194,2024-01-03,2.677107207,-
1176.857143,1158.857143,3049,2023-12-28,38.59813522,-1188.142857,-50.23859861,32.36445322,181.5714286,15.42850206,2024-01-04,2.631040434,-
1073.857143,1103.142857,2913.857143,2023-12-29,36.85345884,-1266.857143,-54.12267318,29.51183207,314,29.24038845,2024-01-05,2.641414141,-
1061.142857,1082.428571,2898.285714,2023-12-30,36.61277603,-1180.857143,-52.66981012,-,-,-,-,2.677576877,-
1063.571429,1082.428571,2926.714286,2023-12-31,36.34011812,-1169.428571,-52.37028981,-,-,-,-,2.70384057,-
1059.857143,1082.571429,2924.285714,2024-01-01,36.24328285,-1162.857143,-52.31698695,-,-,-,-,2.701240433,-
1055.428571,1082.285714,2909.571429,2024-01-02,36.2743654,-587.2857143,-35.75093486,-,-,-,-,2.688357973,-
1307.428571,1430.571429,3559.714286,2024-01-03,36.72846938,111,9.27761194,-,-,-,-,2.488316357,-
1358.428571,1290.285714,4197.285714,2024-01-04,32.36445322,181.5714286,15.42850206,-,-,-,-,3.252989371,-
1387.857143,1221.428571,4702.714286,2024-01-05,29.51183207,314,29.24038845,-,-,-,-,3.850175439,-
