Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
2023-12-25,Entire Country,Entire Country,0000,0.07140629013,0.58,38.75167544,2023-12-23,3823.1926
2023-12-25,dolnośląskie,Bolesławiecki,0201,0,1.111428571,32.00686259,2023-12-23,8.9762
2023-12-25,dolnośląskie,Dzierżoniowski,0202,0.2001300846,0.6557142857,35.56511733,2023-12-23,9.9935
2023-12-25,dolnośląskie,Głogowski,0203,0,0.9171428571,43.31859758,2023-12-23,8.8447
2023-12-25,dolnośląskie,Górowski,0204,0,0.1242857143,28.45566103,2023-12-23,3.4552
2023-12-25,dolnośląskie,Jaworski,0205,0,0.2285714286,36.44187075,2023-12-23,4.9734
2023-12-25,dolnośląskie,Karkonoski,0206,0.1578955679,0.7442857143,29.48226043,2023-12-23,6.3333
2023-12-25,dolnośląskie,Kamiennogórski,0207,0,0.3657142857,37.29684289,2023-12-23,4.2824
2023-12-25,dolnośląskie,Kłodzki,0208,0,0.1257142857,36.04486732,2023-12-23,15.6283
2023-12-25,dolnośląskie,Legnicki,0209,0,0.1285714286,32.67646525,2023-12-23,5.511
2023-12-25,dolnośląskie,Lubański,0210,0.1856941246,0.07857142857,32.43147887,2023-12-23,5.3852
2023-12-25,dolnośląskie,Lubiński,0211,0,0.4985714286,44.39733323,2023-12-23,10.5896
2023-12-25,dolnośląskie,Lwówecki,0212,0,0.25,40.14561723,2023-12-23,4.5599
2023-12-25,dolnośląskie,Milicki,0213,0,1.16,35.52717391,2023-12-23,3.68
2023-12-25,dolnośląskie,Oleśnicki,0214,0.1864488944,0.2257142857,53.47820412,2023-12-23,10.7268
2023-12-25,dolnośląskie,Oławski,0215,0,0.2042857143,26.14901709,2023-12-23,4.3646
2023-12-25,dolnośląskie,Polkowicki,0216,0,0.43,28.0219693,2023-12-23,6.2997
2023-12-25,dolnośląskie,Strzeliński,0217,0.2313690104,0.69,36.07042873,2023-12-23,4.3221
2023-12-25,dolnośląskie,Średzki,0218,0.180154212,0.3085714286,25.47740866,2023-12-23,5.5508
2023-12-25,dolnośląskie,Świdnicki,0219,0,0.3842857143,37.22654873,2023-12-23,15.6015
2023-12-25,dolnośląskie,Trzebnicki,0220,0.1173350855,0.3514285714,32.96646563,2023-12-23,8.5226
2023-12-25,dolnośląskie,Wałbrzyski,0221,0,0.2828571429,24.56856661,2023-12-23,5.5107
2023-12-25,dolnośląskie,Wołowski,0222,0.2144864123,0.09142857143,35.54897797,2023-12-23,4.6623
2023-12-25,dolnośląskie,Wrocławski,0223,0.06397052238,0.4714285714,33.48984788,2023-12-23,15.6322
2023-12-25,dolnośląskie,Ząbkowicki,0224,0,0.7085714286,34.90012484,2023-12-23,6.408
2023-12-25,dolnośląskie,Zgorzelecki,0225,0,0.7085714286,35.92310999,2023-12-23,8.8386
2023-12-25,dolnośląskie,Złotoryjski,0226,0,0.3285714286,37.95715414,2023-12-23,4.3038
2023-12-25,dolnośląskie,Jelenia Góra,0261,0.3829705751,0.4514285714,56.62602923,2023-12-23,7.8335
2023-12-25,dolnośląskie,Legnica,0262,0,0.07142857143,44.69096672,2023-12-23,9.8436
2023-12-25,dolnośląskie,Wrocław,0264,0.04673421318,0.5042857143,71.58295011,2023-12-23,64.1928
2023-12-25,dolnośląskie,Wałbrzych,0265,0.09093306417,0.1285714286,55.76561093,2023-12-23,10.9971
2023-12-25,kujawsko-pomorskie,Aleksandrowski,0401,0,0.13,46.17332532,2023-12-23,5.4891
2023-12-25,kujawsko-pomorskie,Brodnicki,0402,0.1265454361,0.3071428571,33.20931881,2023-12-23,7.9023
