wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,281,-,-,0.07,0,0,0,423,0,0,1469,287,1180,2,t00,2023-10-11
dolnośląskie,-,-,13,-,-,0.04,0,0,0,28,0,0,63,14,49,0,t02,2023-10-11
kujawsko-pomorskie,-,-,9,-,-,0.04,0,0,0,24,0,0,55,9,46,0,t04,2023-10-11
lubelskie,-,-,29,-,-,0.14,0,0,0,36,0,0,112,30,81,1,t06,2023-10-11
lubuskie,-,-,9,-,-,0.09,0,0,0,8,0,0,26,9,17,0,t08,2023-10-11
łódzkie,-,-,9,-,-,0.04,0,0,0,12,0,0,21,9,12,0,t10,2023-10-11
małopolskie,-,-,23,-,-,0.07,0,0,0,50,0,0,93,23,70,0,t12,2023-10-11
mazowieckie,-,-,53,-,-,0.1,0,0,0,50,0,0,456,53,403,0,t14,2023-10-11
opolskie,-,-,12,-,-,0.12,0,0,0,6,0,0,45,12,33,0,t16,2023-10-11
podkarpackie,-,-,10,-,-,0.05,0,0,0,21,0,0,38,10,28,0,t18,2023-10-11
podlaskie,-,-,23,-,-,0.2,0,0,0,32,0,0,50,23,27,0,t20,2023-10-11
pomorskie,-,-,12,-,-,0.05,0,0,0,26,0,0,109,12,96,1,t22,2023-10-11
śląskie,-,-,27,-,-,0.06,0,0,0,56,0,0,109,28,81,0,t24,2023-10-11
świętokrzyskie,-,-,10,-,-,0.08,0,0,0,7,0,0,16,10,6,0,t26,2023-10-11
warmińsko-mazurskie,-,-,10,-,-,0.07,0,0,0,22,0,0,38,10,28,0,t28,2023-10-11
wielkopolskie,-,-,14,-,-,0.04,0,0,0,21,0,0,66,14,52,0,t30,2023-10-11
zachodniopomorskie,-,-,14,-,-,0.08,0,0,0,24,0,0,110,16,94,0,t32,2023-10-11
