wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,-,-,5048,-,-,1.32,68.0,8.0,60.0,297.0,10804,165716,20632,5720,14202,710,t00
dolnośląskie,-,-,219,-,-,0.76,,,,5.0,595,10726,1060,260,788,12,t02
kujawsko-pomorskie,-,-,472,-,-,2.28,11.0,,11.0,60.0,996,14878,1382,552,802,28,t04
lubelskie,-,-,268,-,-,1.27,7.0,,7.0,22.0,590,7939,1016,292,713,11,t06
lubuskie,-,-,111,-,-,1.1,,,,8.0,437,5546,383,116,256,11,t08
łódzkie,-,-,280,-,-,1.14,,,,30.0,710,10770,1148,309,804,35,t10
małopolskie,-,-,169,-,-,0.5,1.0,,1.0,4.0,326,5596,1348,197,973,178,t12
mazowieckie,-,-,741,-,-,1.37,19.0,,19.0,38.0,1331,25022,3121,814,2192,115,t14
opolskie,-,-,97,-,-,0.99,1.0,,1.0,4.0,234,3686,331,102,227,2,t16
podkarpackie,-,-,132,-,-,0.62,1.0,,1.0,,240,4117,704,180,506,18,t18
podlaskie,-,-,115,-,-,0.98,2.0,1.0,1.0,6.0,200,4270,410,130,278,2,t20
pomorskie,-,-,487,-,-,2.08,,,,36.0,899,14992,1583,516,1019,48,t22
śląskie,-,-,285,-,-,0.63,2.0,,2.0,11.0,821,12800,1522,335,1068,119,t24
świętokrzyskie,-,-,82,-,-,0.67,4.0,,4.0,4.0,118,2285,636,105,489,42,t26
warmińsko-mazurskie,-,-,315,-,-,2.22,1.0,,1.0,11.0,933,11656,748,331,409,8,t28
wielkopolskie,-,-,518,-,-,1.48,15.0,7.0,8.0,29.0,1411,17940,2127,640,1448,39,t30
zachodniopomorskie,-,-,557,-,-,3.29,4.0,,4.0,29.0,877,13483,1375,612,741,22,t32
