wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,7795,-,-,2.03,386,88,298,11617,13158,190259,73122,8751,63268,1103,t0000
dolnośląskie,bolesławiecki,-,-,15,-,-,1.67,1,0,1,32,29,425,177,16,158,3,t0201
dolnośląskie,dzierżoniowski,-,-,10,-,-,0.99,1,0,1,10,1,174,90,11,79,0,t0202
dolnośląskie,głogowski,-,-,11,-,-,1.24,1,0,1,19,9,325,180,12,167,1,t0203
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,7,18,137,97,0,97,0,t0204
dolnośląskie,jaworski,-,-,12,-,-,2.4,0,0,0,6,9,139,58,12,46,0,t0205
dolnośląskie,jeleniogórski,-,-,17,-,-,2.68,3,0,3,17,9,217,50,17,33,0,t0206
dolnośląskie,kamiennogórski,-,-,5,-,-,1.16,0,0,0,6,3,81,46,5,40,1,t0207
dolnośląskie,kłodzki,-,-,25,-,-,1.59,1,0,1,31,19,441,417,25,392,0,t0208
dolnośląskie,legnicki,-,-,4,-,-,0.72,0,0,0,12,15,176,45,4,41,0,t0209
dolnośląskie,lubański,-,-,17,-,-,3.14,0,0,0,22,11,311,113,17,92,4,t0210
dolnośląskie,lubiński,-,-,11,-,-,1.04,0,0,0,17,7,261,168,13,151,4,t0211
dolnośląskie,lwówecki,-,-,5,-,-,1.09,0,0,0,1,9,124,43,5,37,1,t0212
dolnośląskie,milicki,-,-,2,-,-,0.54,0,0,0,5,12,180,49,5,44,0,t0213
dolnośląskie,oleśnicki,-,-,18,-,-,1.68,2,2,0,22,22,333,263,23,236,4,t0214
