wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,49,4,53,0.01,0.0,0.01,0,0,0,22,12,0,2813,65,2745,3,t0000,2022-06-05
dolnośląskie,bolesławiecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0201,2022-06-05
dolnośląskie,dzierżoniowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0202,2022-06-05
dolnośląskie,głogowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0203,2022-06-05
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2022-06-05
dolnośląskie,jaworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0205,2022-06-05
dolnośląskie,jeleniogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0206,2022-06-05
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2022-06-05
dolnośląskie,kłodzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,1,2,0,t0208,2022-06-05
dolnośląskie,legnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0209,2022-06-05
dolnośląskie,lubański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0210,2022-06-05
dolnośląskie,lubiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0211,2022-06-05
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0212,2022-06-05
dolnośląskie,milicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0213,2022-06-05
dolnośląskie,oleśnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0214,2022-06-05
dolnośląskie,oławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0215,2022-06-05
dolnośląskie,polkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0216,2022-06-05
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0217,2022-06-05
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0218,2022-06-05
dolnośląskie,świdnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0219,2022-06-05
dolnośląskie,trzebnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0220,2022-06-05
dolnośląskie,wałbrzyski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0221,2022-06-05
dolnośląskie,wołowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0222,2022-06-05
dolnośląskie,wrocławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t0223,2022-06-05
dolnośląskie,ząbkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0224,2022-06-05
dolnośląskie,zgorzelecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0225,2022-06-05
dolnośląskie,złotoryjski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0226,2022-06-05
dolnośląskie,Jelenia Góra,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0261,2022-06-05
dolnośląskie,Legnica,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0262,2022-06-05
dolnośląskie,Wrocław,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,33,0,33,0,t0264,2022-06-05
dolnośląskie,Wałbrzych,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0265,2022-06-05
kujawsko-pomorskie,aleksandrowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0401,2022-06-05
kujawsko-pomorskie,brodnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0402,2022-06-05
kujawsko-pomorskie,bydgoski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0403,2022-06-05
kujawsko-pomorskie,chełmiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0404,2022-06-05
kujawsko-pomorskie,golubsko-dobrzyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0405,2022-06-05
kujawsko-pomorskie,grudziądzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0406,2022-06-05
kujawsko-pomorskie,inowrocławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0407,2022-06-05
kujawsko-pomorskie,lipnowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0408,2022-06-05
kujawsko-pomorskie,mogileński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0409,2022-06-05
kujawsko-pomorskie,nakielski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0410,2022-06-05
kujawsko-pomorskie,radziejowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0411,2022-06-05
kujawsko-pomorskie,rypiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0412,2022-06-05
kujawsko-pomorskie,sępoleński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0413,2022-06-05
kujawsko-pomorskie,świecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0414,2022-06-05
kujawsko-pomorskie,toruński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0415,2022-06-05
kujawsko-pomorskie,tucholski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0416,2022-06-05
kujawsko-pomorskie,wąbrzeski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0417,2022-06-05
kujawsko-pomorskie,włocławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0418,2022-06-05
kujawsko-pomorskie,żniński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0419,2022-06-05
kujawsko-pomorskie,Bydgoszcz,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0461,2022-06-05
kujawsko-pomorskie,Grudziądz,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0462,2022-06-05
kujawsko-pomorskie,Toruń,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t0463,2022-06-05
kujawsko-pomorskie,Włocławek,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0464,2022-06-05
lubelskie,bialski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0601,2022-06-05
lubelskie,biłgorajski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,11,0,t0602,2022-06-05
lubelskie,chełmski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0603,2022-06-05
lubelskie,hrubieszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0604,2022-06-05
lubelskie,janowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0605,2022-06-05
lubelskie,krasnostawski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,12,0,12,0,t0606,2022-06-05
lubelskie,kraśnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,3,0,3,0,t0607,2022-06-05
lubelskie,lubartowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0608,2022-06-05
lubelskie,lubelski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0609,2022-06-05
lubelskie,łęczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0610,2022-06-05
lubelskie,łukowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,t0611,2022-06-05
lubelskie,opolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0612,2022-06-05
lubelskie,parczewski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0613,2022-06-05
lubelskie,puławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0614,2022-06-05
lubelskie,radzyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0615,2022-06-05
lubelskie,rycki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0616,2022-06-05
lubelskie,świdnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,2,0,2,0,t0617,2022-06-05
lubelskie,tomaszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,2,0,2,0,t0618,2022-06-05
lubelskie,włodawski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0619,2022-06-05
lubelskie,zamojski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0620,2022-06-05
lubelskie,Biała Podlaska,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t0661,2022-06-05
lubelskie,Chełm,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0662,2022-06-05
lubelskie,Lublin,0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,16,0,16,0,t0663,2022-06-05
lubelskie,Zamość,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0664,2022-06-05
lubuskie,gorzowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0801,2022-06-05
lubuskie,krośnieński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0802,2022-06-05
lubuskie,międzyrzecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0803,2022-06-05
lubuskie,nowosolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0804,2022-06-05
lubuskie,słubicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0805,2022-06-05
lubuskie,strzelecko-drezdenecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0806,2022-06-05
lubuskie,sulęciński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0807,2022-06-05
lubuskie,świebodziński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0808,2022-06-05
lubuskie,zielonogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0809,2022-06-05
lubuskie,żagański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0810,2022-06-05
lubuskie,żarski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0811,2022-06-05
lubuskie,wschowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0812,2022-06-05
lubuskie,Gorzów Wielkopolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0861,2022-06-05
lubuskie,Zielona Góra,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,8,0,8,0,t0862,2022-06-05
łódzkie,bełchatowski,1,0,1,0.09,0.0,0.09,0,0,0,1,0,0,5,1,4,0,t1001,2022-06-05
łódzkie,kutnowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1002,2022-06-05
łódzkie,łaski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,t1003,2022-06-05
łódzkie,łęczycki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1004,2022-06-05
łódzkie,łowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1005,2022-06-05
łódzkie,łódzki wschodni,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1006,2022-06-05
łódzkie,opoczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1007,2022-06-05
łódzkie,pabianicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t1008,2022-06-05
łódzkie,pajęczański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1009,2022-06-05
łódzkie,piotrkowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t1010,2022-06-05
łódzkie,poddębicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1011,2022-06-05
łódzkie,radomszczański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1012,2022-06-05
łódzkie,rawski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t1013,2022-06-05
łódzkie,sieradzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1014,2022-06-05
łódzkie,skierniewicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1015,2022-06-05
łódzkie,tomaszowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,t1016,2022-06-05
łódzkie,wieluński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1017,2022-06-05
