wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,5569,-,-,1.45,326,93,233,22317,6991,170761,50150,6835,42439,876,t0000
dolnośląskie,bolesławiecki,-,-,38,-,-,4.22,0,0,0,59,9,415,267,41,224,2,t0201
dolnośląskie,dzierżoniowski,-,-,3,-,-,0.3,0,0,0,24,6,176,70,3,67,0,t0202
dolnośląskie,głogowski,-,-,8,-,-,0.9,0,0,0,53,6,295,103,9,92,2,t0203
dolnośląskie,górowski,-,-,2,-,-,0.58,1,0,1,15,4,123,21,2,19,0,t0204
dolnośląskie,jaworski,-,-,2,-,-,0.4,1,1,0,31,8,122,46,5,41,0,t0205
dolnośląskie,jeleniogórski,-,-,1,-,-,0.16,0,0,0,20,18,159,48,5,42,1,t0206
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,3,3,0,13,2,70,36,0,34,2,t0207
dolnośląskie,kłodzki,-,-,4,-,-,0.25,0,0,0,70,7,393,88,7,81,0,t0208
dolnośląskie,legnicki,-,-,5,-,-,0.91,2,2,0,23,4,174,55,5,50,0,t0209
dolnośląskie,lubański,-,-,9,-,-,1.66,3,3,0,34,0,266,51,9,39,3,t0210
dolnośląskie,lubiński,-,-,11,-,-,1.04,0,0,0,31,4,233,109,13,96,0,t0211
dolnośląskie,lwówecki,-,-,16,-,-,3.5,0,0,0,33,10,111,59,18,39,2,t0212
dolnośląskie,milicki,-,-,1,-,-,0.27,0,0,0,23,2,187,27,2,24,1,t0213
dolnośląskie,oleśnicki,-,-,18,-,-,1.68,0,0,0,32,7,298,113,18,93,2,t0214
dolnośląskie,oławski,-,-,5,-,-,0.65,0,0,0,42,10,410,87,6,79,2,t0215
dolnośląskie,polkowicki,-,-,3,-,-,0.48,0,0,0,17,2,173,45,3,42,0,t0216
dolnośląskie,strzeliński,-,-,0,-,-,0.0,1,1,0,15,5,176,25,0,24,1,t0217
dolnośląskie,średzki,-,-,7,-,-,1.26,0,0,0,42,5,206,43,7,35,1,t0218
dolnośląskie,świdnicki,-,-,20,-,-,1.28,2,0,2,50,8,721,163,23,140,0,t0219
dolnośląskie,trzebnicki,-,-,12,-,-,1.41,0,0,0,44,6,309,70,12,57,1,t0220
dolnośląskie,wałbrzyski,-,-,5,-,-,0.9,2,0,2,23,8,149,64,6,57,1,t0221
dolnośląskie,wołowski,-,-,2,-,-,0.43,0,0,0,25,6,213,38,2,33,3,t0222
dolnośląskie,wrocławski,-,-,18,-,-,1.17,1,1,0,84,17,857,384,25,353,6,t0223
dolnośląskie,ząbkowicki,-,-,13,-,-,2.02,2,2,0,34,5,197,80,13,66,1,t0224
dolnośląskie,zgorzelecki,-,-,10,-,-,1.13,0,0,0,42,7,356,90,13,76,1,t0225
dolnośląskie,złotoryjski,-,-,1,-,-,0.23,0,0,0,17,6,137,26,1,24,1,t0226
dolnośląskie,Jelenia Góra,-,-,9,-,-,1.14,1,0,1,31,16,223,61,13,45,3,t0261
dolnośląskie,Legnica,-,-,4,-,-,0.4,3,3,0,35,7,386,75,4,70,1,t0262
dolnośląskie,Wrocław,-,-,102,-,-,1.58,6,6,0,378,94,3202,995,125,834,36,t0264
dolnośląskie,Wałbrzych,-,-,10,-,-,0.9,5,0,5,43,11,314,219,13,206,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,2,-,-,0.36,0,0,0,31,6,209,58,3,53,2,t0401
kujawsko-pomorskie,brodnicki,-,-,7,-,-,0.88,0,0,0,51,13,399,106,8,97,1,t0402
kujawsko-pomorskie,bydgoski,-,-,46,-,-,3.85,3,0,3,147,66,1159,208,48,152,8,t0403
kujawsko-pomorskie,chełmiński,-,-,14,-,-,2.7,0,0,0,61,11,464,104,29,72,3,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,8,-,-,1.78,0,0,0,31,13,207,70,9,61,0,t0405
kujawsko-pomorskie,grudziądzki,-,-,11,-,-,2.74,0,0,0,44,13,374,56,13,42,1,t0406
kujawsko-pomorskie,inowrocławski,-,-,23,-,-,1.44,2,0,2,129,81,873,206,41,159,6,t0407
kujawsko-pomorskie,lipnowski,-,-,9,-,-,1.37,2,0,2,24,12,286,94,11,82,1,t0408
kujawsko-pomorskie,mogileński,-,-,25,-,-,5.49,1,0,1,23,13,194,95,30,61,4,t0409
kujawsko-pomorskie,nakielski,-,-,18,-,-,2.09,2,0,2,112,46,678,174,20,151,3,t0410
kujawsko-pomorskie,radziejowski,-,-,11,-,-,2.74,3,0,3,30,25,199,47,16,31,0,t0411
kujawsko-pomorskie,rypiński,-,-,6,-,-,1.38,1,0,1,26,1,135,41,6,35,0,t0412
kujawsko-pomorskie,sępoleński,-,-,4,-,-,0.98,1,0,1,56,32,313,56,6,49,1,t0413
kujawsko-pomorskie,świecki,-,-,15,-,-,1.52,0,0,0,102,33,765,223,19,202,2,t0414
kujawsko-pomorskie,toruński,-,-,30,-,-,2.75,0,0,0,134,43,861,169,31,136,2,t0415
kujawsko-pomorskie,tucholski,-,-,9,-,-,1.86,0,0,0,27,17,303,80,11,67,2,t0416
kujawsko-pomorskie,wąbrzeski,-,-,24,-,-,7.04,1,0,1,52,4,237,71,25,46,0,t0417
kujawsko-pomorskie,włocławski,-,-,7,-,-,0.81,1,0,1,48,25,413,76,8,67,1,t0418
kujawsko-pomorskie,żniński,-,-,25,-,-,3.57,0,0,0,60,17,547,131,28,100,3,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,136,-,-,3.92,3,0,3,457,193,2691,615,147,453,15,t0461
kujawsko-pomorskie,Grudziądz,-,-,30,-,-,3.19,0,0,0,102,57,728,257,36,218,3,t0462
kujawsko-pomorskie,Toruń,-,-,51,-,-,2.54,3,0,3,221,63,1362,511,56,453,2,t0463
kujawsko-pomorskie,Włocławek,-,-,15,-,-,1.37,2,0,2,76,24,515,194,18,176,0,t0464
lubelskie,bialski,-,-,9,-,-,0.81,0,0,0,45,14,319,139,9,128,2,t0601
lubelskie,biłgorajski,-,-,6,-,-,0.6,3,0,3,26,8,228,141,6,128,7,t0602
