wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,358,91,449,0.09,0.02,0.12,10,2,8,1376,0,0,6566,500,6051,15,t0000,2022-11-22
dolnośląskie,bolesławiecki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,13,0,13,0,t0201,2022-11-22
dolnośląskie,dzierżoniowski,2,0,2,0.2,0.0,0.2,0,0,0,4,0,0,9,2,7,0,t0202,2022-11-22
dolnośląskie,głogowski,2,0,2,0.23,0.0,0.23,0,0,0,1,0,0,13,2,11,0,t0203,2022-11-22
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,6,0,6,0,t0204,2022-11-22
dolnośląskie,jaworski,1,0,1,0.2,0.0,0.2,0,0,0,0,0,0,6,1,5,0,t0205,2022-11-22
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,1,0,0,3,1,2,0,t0206,2022-11-22
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2022-11-22
dolnośląskie,kłodzki,1,0,1,0.06,0.0,0.06,0,0,0,1,0,0,13,2,11,0,t0208,2022-11-22
dolnośląskie,legnicki,1,0,1,0.18,0.0,0.18,0,0,0,1,0,0,8,1,7,0,t0209,2022-11-22
dolnośląskie,lubański,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,t0210,2022-11-22
dolnośląskie,lubiński,0,2,2,0.0,0.19,0.19,0,0,0,2,0,0,7,2,5,0,t0211,2022-11-22
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t0212,2022-11-22
dolnośląskie,milicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0213,2022-11-22
dolnośląskie,oleśnicki,1,0,1,0.09,0.0,0.09,0,0,0,1,0,0,7,1,6,0,t0214,2022-11-22
dolnośląskie,oławski,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,4,1,3,0,t0215,2022-11-22
dolnośląskie,polkowicki,2,1,3,0.32,0.16,0.48,0,0,0,4,0,0,10,3,7,0,t0216,2022-11-22
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,7,0,7,0,t0217,2022-11-22
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,6,0,0,11,0,11,0,t0218,2022-11-22
dolnośląskie,świdnicki,3,0,3,0.19,0.0,0.19,0,0,0,3,0,0,17,3,14,0,t0219,2022-11-22
dolnośląskie,trzebnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t0220,2022-11-22
dolnośląskie,wałbrzyski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,t0221,2022-11-22
dolnośląskie,wołowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0222,2022-11-22
dolnośląskie,wrocławski,4,3,7,0.26,0.19,0.45,0,0,0,8,0,0,20,7,13,0,t0223,2022-11-22
dolnośląskie,ząbkowicki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,7,0,7,0,t0224,2022-11-22
dolnośląskie,zgorzelecki,1,0,1,0.11,0.0,0.11,0,0,0,5,0,0,6,1,5,0,t0225,2022-11-22
dolnośląskie,złotoryjski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0226,2022-11-22
dolnośląskie,Jelenia Góra,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,8,0,8,0,t0261,2022-11-22
dolnośląskie,Legnica,1,0,1,0.1,0.0,0.1,0,0,0,3,0,0,21,1,20,0,t0262,2022-11-22
dolnośląskie,Wrocław,4,3,7,0.06,0.05,0.11,0,0,0,48,0,0,94,7,87,0,t0264,2022-11-22
dolnośląskie,Wałbrzych,4,0,4,0.36,0.0,0.36,0,0,0,4,0,0,9,5,4,0,t0265,2022-11-22
kujawsko-pomorskie,aleksandrowski,0,2,2,0.0,0.36,0.36,0,0,0,3,0,0,7,2,5,0,t0401,2022-11-22
kujawsko-pomorskie,brodnicki,1,0,1,0.13,0.0,0.13,0,0,0,1,0,0,6,1,5,0,t0402,2022-11-22
kujawsko-pomorskie,bydgoski,0,0,0,0.0,0.0,0.0,0,0,0,10,0,0,26,0,26,0,t0403,2022-11-22
kujawsko-pomorskie,chełmiński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,0,4,0,t0404,2022-11-22
kujawsko-pomorskie,golubsko-dobrzyński,1,0,1,0.22,0.0,0.22,0,0,0,1,0,0,2,1,1,0,t0405,2022-11-22
kujawsko-pomorskie,grudziądzki,0,1,1,0.0,0.25,0.25,0,0,0,0,0,0,4,1,3,0,t0406,2022-11-22
kujawsko-pomorskie,inowrocławski,5,1,6,0.31,0.06,0.38,0,0,0,17,0,0,46,7,38,1,t0407,2022-11-22
kujawsko-pomorskie,lipnowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0408,2022-11-22
kujawsko-pomorskie,mogileński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0409,2022-11-22
kujawsko-pomorskie,nakielski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0410,2022-11-22
kujawsko-pomorskie,radziejowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,3,0,t0411,2022-11-22
kujawsko-pomorskie,rypiński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t0412,2022-11-22
kujawsko-pomorskie,sępoleński,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,10,0,10,0,t0413,2022-11-22
kujawsko-pomorskie,świecki,1,0,1,0.1,0.0,0.1,0,0,0,0,0,0,3,1,2,0,t0414,2022-11-22
kujawsko-pomorskie,toruński,0,0,0,0.0,0.0,0.0,0,0,0,8,0,0,12,0,12,0,t0415,2022-11-22
kujawsko-pomorskie,tucholski,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,6,0,6,0,t0416,2022-11-22
kujawsko-pomorskie,wąbrzeski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t0417,2022-11-22
kujawsko-pomorskie,włocławski,0,2,2,0.0,0.23,0.23,0,0,0,0,0,0,7,2,5,0,t0418,2022-11-22
kujawsko-pomorskie,żniński,1,1,2,0.14,0.14,0.29,0,0,0,6,0,0,13,3,10,0,t0419,2022-11-22
kujawsko-pomorskie,Bydgoszcz,4,3,7,0.12,0.09,0.2,0,0,0,27,0,0,60,8,50,2,t0461,2022-11-22
kujawsko-pomorskie,Grudziądz,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,10,0,10,0,t0462,2022-11-22
kujawsko-pomorskie,Toruń,3,0,3,0.15,0.0,0.15,0,0,0,4,0,0,23,3,20,0,t0463,2022-11-22
kujawsko-pomorskie,Włocławek,1,0,1,0.09,0.0,0.09,1,0,1,2,0,0,18,1,17,0,t0464,2022-11-22
lubelskie,bialski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,9,0,9,0,t0601,2022-11-22
lubelskie,biłgorajski,1,0,1,0.1,0.0,0.1,0,0,0,11,0,0,28,1,27,0,t0602,2022-11-22
lubelskie,chełmski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,10,0,10,0,t0603,2022-11-22
lubelskie,hrubieszowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,15,1,14,0,t0604,2022-11-22
lubelskie,janowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,22,0,22,0,t0605,2022-11-22
lubelskie,krasnostawski,1,0,1,0.16,0.0,0.16,0,0,0,2,0,0,13,1,12,0,t0606,2022-11-22
lubelskie,kraśnicki,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,19,1,18,0,t0607,2022-11-22
lubelskie,lubartowski,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,16,0,16,0,t0608,2022-11-22
lubelskie,lubelski,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,41,0,41,0,t0609,2022-11-22
lubelskie,łęczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t0610,2022-11-22
lubelskie,łukowski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,8,0,8,0,t0611,2022-11-22
lubelskie,opolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t0612,2022-11-22
lubelskie,parczewski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0613,2022-11-22
lubelskie,puławski,1,1,2,0.09,0.09,0.18,0,0,0,12,0,0,48,2,46,0,t0614,2022-11-22
lubelskie,radzyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t0615,2022-11-22
lubelskie,rycki,0,0,0,0.0,0.0,0.0,0,0,0,6,0,0,24,0,24,0,t0616,2022-11-22
lubelskie,świdnicki,2,1,3,0.28,0.14,0.42,0,0,0,7,0,0,25,3,22,0,t0617,2022-11-22
lubelskie,tomaszowski,2,0,2,0.24,0.0,0.24,0,0,0,0,0,0,13,2,11,0,t0618,2022-11-22
lubelskie,włodawski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t0619,2022-11-22
lubelskie,zamojski,0,0,0,0.0,0.0,0.0,0,0,0,7,0,0,24,0,24,0,t0620,2022-11-22
