wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,898,-,-,0.23,6,4,2,1366,0,0,3269,924,2342,3,t0000,2024-10-21
dolnośląskie,bolesławiecki,-,-,3,-,-,0.33,0,0,0,1,0,0,14,3,11,0,t0201,2024-10-21
dolnośląskie,dzierżoniowski,-,-,0,-,-,0.0,0,0,0,4,0,0,12,0,12,0,t0202,2024-10-21
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,0,0,0,6,0,6,0,t0203,2024-10-21
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2024-10-21
dolnośląskie,jaworski,-,-,1,-,-,0.2,0,0,0,0,0,0,1,1,0,0,t0205,2024-10-21
dolnośląskie,jeleniogórski,-,-,3,-,-,0.47,0,0,0,5,0,0,16,3,13,0,t0206,2024-10-21
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2024-10-21
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0208,2024-10-21
dolnośląskie,legnicki,-,-,1,-,-,0.18,0,0,0,1,0,0,1,1,0,0,t0209,2024-10-21
dolnośląskie,lubański,-,-,1,-,-,0.18,0,0,0,0,0,0,4,1,3,0,t0210,2024-10-21
dolnośląskie,lubiński,-,-,4,-,-,0.38,0,0,0,1,0,0,4,4,0,0,t0211,2024-10-21
dolnośląskie,lwówecki,-,-,1,-,-,0.22,0,0,0,1,0,0,2,1,1,0,t0212,2024-10-21
dolnośląskie,milicki,-,-,2,-,-,0.54,0,0,0,2,0,0,2,2,0,0,t0213,2024-10-21
dolnośląskie,oleśnicki,-,-,1,-,-,0.09,0,0,0,1,0,0,2,1,1,0,t0214,2024-10-21
dolnośląskie,oławski,-,-,1,-,-,0.13,0,0,0,0,0,0,1,1,0,0,t0215,2024-10-21
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,6,0,0,0,0,0,0,t0216,2024-10-21
dolnośląskie,strzeliński,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0217,2024-10-21
dolnośląskie,średzki,-,-,2,-,-,0.36,0,0,0,3,0,0,4,2,2,0,t0218,2024-10-21
