Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
,Entire Country,Entire Country,0000,,,,,3823.1926
,dolnośląskie,Bolesławiecki,0201,,,,,8.9762
,dolnośląskie,Dzierżoniowski,0202,,,,,9.9935
,dolnośląskie,Głogowski,0203,,,,,8.8447
,dolnośląskie,Górowski,0204,,,,,3.4552
,dolnośląskie,Jaworski,0205,,,,,4.9734
,dolnośląskie,Karkonoski,0206,,,,,6.3333
,dolnośląskie,Kamiennogórski,0207,,,,,4.2824
,dolnośląskie,Kłodzki,0208,,,,,15.6283
,dolnośląskie,Legnicki,0209,,,,,5.511
,dolnośląskie,Lubański,0210,,,,,5.3852
,dolnośląskie,Lubiński,0211,,,,,10.5896
,dolnośląskie,Lwówecki,0212,,,,,4.5599
,dolnośląskie,Milicki,0213,,,,,3.68
,dolnośląskie,Oleśnicki,0214,,,,,10.7268
,dolnośląskie,Oławski,0215,,,,,4.3646
,dolnośląskie,Polkowicki,0216,,,,,6.2997
,dolnośląskie,Strzeliński,0217,,,,,4.3221
,dolnośląskie,Średzki,0218,,,,,5.5508
,dolnośląskie,Świdnicki,0219,,,,,15.6015
,dolnośląskie,Trzebnicki,0220,,,,,8.5226
,dolnośląskie,Wałbrzyski,0221,,,,,5.5107
,dolnośląskie,Wołowski,0222,,,,,4.6623
,dolnośląskie,Wrocławski,0223,,,,,15.6322
,dolnośląskie,Ząbkowicki,0224,,,,,6.408
,dolnośląskie,Zgorzelecki,0225,,,,,8.8386
,dolnośląskie,Złotoryjski,0226,,,,,4.3038
,dolnośląskie,Jelenia Góra,0261,,,,,7.8335
,dolnośląskie,Legnica,0262,,,,,9.8436
,dolnośląskie,Wrocław,0264,,,,,64.1928
,dolnośląskie,Wałbrzych,0265,,,,,10.9971
,kujawsko-pomorskie,Aleksandrowski,0401,,,,,5.4891
,kujawsko-pomorskie,Brodnicki,0402,,,,,7.9023
,kujawsko-pomorskie,Bydgoski,0403,,,,,12.0432
,kujawsko-pomorskie,Chełmiński,0404,,,,,5.1657
,kujawsko-pomorskie,Golubsko-Dobrzyński,0405,,,,,4.4855
,kujawsko-pomorskie,Grudziądzki,0406,,,,,4.0305
,kujawsko-pomorskie,Inowrocławski,0407,,,,,15.8496
,kujawsko-pomorskie,Lipnowski,0408,,,,,6.545
,kujawsko-pomorskie,Mogileński,0409,,,,,4.5482
,kujawsko-pomorskie,Nakielski,0410,,,,,8.6119
,kujawsko-pomorskie,Radziejowski,0411,,,,,4.0025
,kujawsko-pomorskie,Rypiński,0412,,,,,4.339
,kujawsko-pomorskie,Sępoleński,0413,,,,,4.0826
,kujawsko-pomorskie,Świecki,0414,,,,,9.8703
,kujawsko-pomorskie,Toruński,0415,,,,,10.9565
,kujawsko-pomorskie,Tucholski,0416,,,,,4.8322
,kujawsko-pomorskie,Wąbrzeski,0417,,,,,3.404
,kujawsko-pomorskie,Włocławski,0418,,,,,8.5646
,kujawsko-pomorskie,Żniński,0419,,,,,6.9886
,kujawsko-pomorskie,Bydgoszcz,0461,,,,,34.4091
,kujawsko-pomorskie,Grudziądz,0462,,,,,9.3564
,kujawsko-pomorskie,Toruń,0463,,,,,19.8613
,kujawsko-pomorskie,Włocławek,0464,,,,,10.8561
,lubelskie,Bialski,0601,,,,,10.9958
,lubelskie,Biłgorajski,0602,,,,,10.0333
,lubelskie,Chełmski,0603,,,,,7.7502
,lubelskie,Hrubieszowski,0604,,,,,6.2009
,lubelskie,Janowski,0605,,,,,4.5142
,lubelskie,Krasnostawski,0606,,,,,6.2552
,lubelskie,Kraśnicki,0607,,,,,9.4531
,lubelskie,Lubartowski,0608,,,,,8.785
,lubelskie,Lubelski,0609,,,,,15.6493
,lubelskie,Łęczyński,0610,,,,,5.7218
,lubelskie,Łukowski,0611,,,,,10.6213
,lubelskie,Opolski,0612,,,,,5.8706
,lubelskie,Parczewski,0613,,,,,3.4372
,lubelskie,Puławski,0614,,,,,11.2384
,lubelskie,Radzyński,0615,,,,,5.8298
,lubelskie,Rycki,0616,,,,,5.553
,lubelskie,Świdnicki,0617,,,,,7.1432
,lubelskie,Tomaszowski,0618,,,,,8.1944
,lubelskie,Włodawski,0619,,,,,3.7989
,lubelskie,Zamojski,0620,,,,,10.5354
,lubelskie,Biała Podlaska,0661,,,,,5.6942
,lubelskie,Chełm,0662,,,,,6.1135
,lubelskie,Lublin,0663,,,,,33.8586
,lubelskie,Zamość,0664,,,,,6.2785
,lubuskie,Gorzowski,0801,,,,,7.2291
,lubuskie,Krośnieński,0802,,,,,5.4598
,lubuskie,Międzyrzecki,0803,,,,,5.71
,lubuskie,Nowosolski,0804,,,,,8.5733
,lubuskie,Słubicki,0805,,,,,4.6944
,lubuskie,Strzelecko-Drezdenecki,0806,,,,,4.8621
,lubuskie,Sulęciński,0807,,,,,3.5
,lubuskie,Świebodziński,0808,,,,,5.552
,lubuskie,Zielonogórski,0809,,,,,7.5673
,lubuskie,Żagański,0810,,,,,7.8148
,lubuskie,Żarski,0811,,,,,9.5423
,lubuskie,Wschowski,0812,,,,,3.8613
,lubuskie,Gorzów Wielkopolski,0861,,,,,12.2589
,lubuskie,Zielona Góra,0862,,,,,14.0892
,łódzkie,Bełchatowski,1001,,,,,11.2443
,łódzkie,Kutnowski,1002,,,,,9.5516
,łódzkie,Łaski,1003,,,,,4.9736
,łódzkie,Łęczycki,1004,,,,,4.9286
,łódzkie,Łowicki,1005,,,,,7.7614
,łódzkie,Łódzki Wschodni,1006,,,,,7.2565
,łódzkie,Opoczyński,1007,,,,,7.5524
,łódzkie,Pabianicki,1008,,,,,11.8941
,łódzkie,Pajęczański,1009,,,,,5.0952
,łódzkie,Piotrkowski,1010,,,,,9.1208
,łódzkie,Poddębicki,1011,,,,,4.0906
,łódzkie,Radomszczański,1012,,,,,11.1696
,łódzkie,Rawski,1013,,,,,4.8385
,łódzkie,Sieradzki,1014,,,,,11.6918
,łódzkie,Skierniewicki,1015,,,,,3.8173
,łódzkie,Tomaszowski,1016,,,,,11.5735
,łódzkie,Wieluński,1017,,,,,7.5736
,łódzkie,Wieruszowski,1018,,,,,4.1984
,łódzkie,Zduńskowolski,1019,,,,,6.6064
,łódzkie,Zgierski,1020,,,,,16.585
,łódzkie,Brzeziński,1021,,,,,3.0648
,łódzkie,Łódź,1061,,,,,67.2185
,łódzkie,Piotrków Trybunalski,1062,,,,,7.225
,łódzkie,Skierniewice,1063,,,,,4.7655
,małopolskie,Bocheński,1201,,,,,10.6947
,małopolskie,Brzeski,1202,,,,,9.3035
,małopolskie,Chrzanowski,1203,,,,,12.3664
,małopolskie,Dąbrowski,1204,,,,,5.8977
,małopolskie,Gorlicki,1205,,,,,10.8487
,małopolskie,Krakowski,1206,,,,,28.144
,małopolskie,Limanowski,1207,,,,,13.2148
,małopolskie,Miechowski,1208,,,,,4.8464
,małopolskie,Myślenicki,1209,,,,,12.7972
,małopolskie,Nowosądecki,1210,,,,,21.7071
,małopolskie,Nowotarski,1211,,,,,19.1646
,małopolskie,Olkuski,1212,,,,,11.0471
,małopolskie,Oświęcimski,1213,,,,,15.2687
,małopolskie,Proszowicki,1214,,,,,4.3057
,małopolskie,Suski,1215,,,,,8.3761
