wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4538,252,890,94,t00
dolnośląskie,bolesławiecki,10491,403,4038,125,t0201
dolnośląskie,dzierżoniowski,9358,409,3428,147,t0202
dolnośląskie,głogowski,8737,312,2721,64,t0203
dolnośląskie,górowski,2600,90,921,28,t0204
dolnośląskie,jaworski,5300,259,1826,21,t0205
dolnośląskie,jeleniogórski,7234,362,2599,195,t0206
dolnośląskie,kamiennogórski,4151,153,1564,33,t0207
dolnośląskie,kłodzki,23518,679,9052,253,t0208
dolnośląskie,legnicki,2946,96,1019,23,t0209
dolnośląskie,lubański,4153,79,1328,0,t0210
dolnośląskie,lubiński,17956,461,5985,153,t0211
dolnośląskie,lwówecki,4515,206,1618,104,t0212
dolnośląskie,milicki,4806,128,1729,40,t0213
dolnośląskie,oleśnicki,7774,170,2742,40,t0214
dolnośląskie,oławski,8814,458,2781,101,t0215
dolnośląskie,polkowicki,2078,99,745,37,t0216
dolnośląskie,strzeliński,5087,156,1899,78,t0217
dolnośląskie,średzki,3094,156,989,28,t0218
dolnośląskie,świdnicki,14591,482,5193,160,t0219
dolnośląskie,trzebnicki,9803,242,3418,55,t0220
dolnośląskie,wałbrzyski,5527,136,2217,62,t0221
dolnośląskie,wołowski,5571,167,1907,43,t0222
dolnośląskie,wrocławski,9824,367,3296,104,t0223
dolnośląskie,ząbkowicki,8091,279,3014,107,t0224
dolnośląskie,zgorzelecki,10249,290,4019,138,t0225
dolnośląskie,złotoryjski,3993,155,1315,56,t0226
dolnośląskie,Jelenia Góra,11943,338,4289,79,t0261
dolnośląskie,Legnica,11307,258,3974,146,t0262
dolnośląskie,Wrocław,143344,3243,50336,1171,t0264
dolnośląskie,Wałbrzych,38175,880,12263,237,t0265
kujawsko-pomorskie,aleksandrowski,24361,644,8497,216,t0401
kujawsko-pomorskie,brodnicki,7886,344,2746,164,t0402
kujawsko-pomorskie,bydgoski,6215,433,2254,169,t0403
kujawsko-pomorskie,chełmiński,4796,162,1716,23,t0404
kujawsko-pomorskie,golubsko-dobrzyński,3711,126,1243,32,t0405
kujawsko-pomorskie,grudziądzki,2062,98,771,42,t0406
kujawsko-pomorskie,inowrocławski,15692,436,5495,173,t0407
kujawsko-pomorskie,lipnowski,6313,231,2223,108,t0408
kujawsko-pomorskie,mogileński,3385,67,1123,0,t0409
kujawsko-pomorskie,nakielski,4881,247,1483,80,t0410
kujawsko-pomorskie,radziejowski,4355,204,1536,44,t0411
kujawsko-pomorskie,rypiński,3966,152,1200,83,t0412
kujawsko-pomorskie,sępoleński,6306,201,2342,97,t0413
kujawsko-pomorskie,świecki,8707,326,3309,106,t0414
kujawsko-pomorskie,toruński,6367,229,2176,60,t0415
kujawsko-pomorskie,tucholski,4073,120,1366,33,t0416
kujawsko-pomorskie,wąbrzeski,3794,109,1343,49,t0417
kujawsko-pomorskie,włocławski,6099,304,2405,158,t0418
kujawsko-pomorskie,żniński,5839,162,2070,77,t0419
kujawsko-pomorskie,Bydgoszcz,59757,1272,22003,279,t0461
kujawsko-pomorskie,Grudziądz,11162,238,3824,129,t0462
kujawsko-pomorskie,Toruń,25797,410,9120,122,t0463
kujawsko-pomorskie,Włocławek,10763,283,3853,87,t0464
lubelskie,bialski,9027,342,3125,56,t0601
lubelskie,biłgorajski,8644,278,3045,65,t0602
lubelskie,chełmski,4533,283,1555,95,t0603
lubelskie,hrubieszowski,6904,254,2293,82,t0604
lubelskie,janowski,6034,160,2241,33,t0605
lubelskie,krasnostawski,6657,147,2595,39,t0606
lubelskie,kraśnicki,8726,372,3261,68,t0607
lubelskie,lubartowski,8837,366,3083,70,t0608
lubelskie,lubelski,11866,564,4225,162,t0609
lubelskie,łęczyński,6499,239,2406,128,t0610
lubelskie,łukowski,8995,292,3088,93,t0611
lubelskie,opolski,6135,280,2166,106,t0612
lubelskie,parczewski,4913,217,1854,72,t0613
lubelskie,puławski,15430,460,5861,163,t0614
lubelskie,radzyński,6187,227,2233,67,t0615
lubelskie,rycki,7476,209,2477,58,t0616
lubelskie,świdnicki,6538,227,2412,77,t0617
lubelskie,tomaszowski,8223,226,2993,53,t0618
lubelskie,włodawski,5380,127,1914,52,t0619
lubelskie,zamojski,7836,258,2940,80,t0620
lubelskie,Biała Podlaska,10133,109,3741,14,t0661
lubelskie,Chełm,8493,104,2821,8,t0662
lubelskie,Lublin,86141,1856,30606,511,t0663
lubelskie,Zamość,11690,306,3915,102,t0664
lubuskie,gorzowski,4876,225,1743,126,t0801
lubuskie,krośnieński,5963,146,2065,79,t0802
lubuskie,międzyrzecki,8286,158,2868,48,t0803
lubuskie,nowosolski,9933,327,3522,117,t0804
lubuskie,słubicki,4121,113,1508,54,t0805
lubuskie,strzelecko-drezdenecki,5258,197,1785,44,t0806
lubuskie,sulęciński,3656,108,1273,22,t0807
lubuskie,świebodziński,6856,210,2674,102,t0808
lubuskie,zielonogórski,7816,194,2895,96,t0809
lubuskie,żagański,5685,282,2060,71,t0810
lubuskie,żarski,12182,414,4244,161,t0811
lubuskie,wschowski,2752,50,904,12,t0812
lubuskie,Gorzów Wielkopolski,16177,197,5790,82,t0861
lubuskie,Zielona Góra,22129,630,8030,99,t0862
łódzkie,bełchatowski,9612,350,3593,109,t1001
łódzkie,kutnowski,10311,424,3842,90,t1002
łódzkie,łaski,3878,196,1270,48,t1003
łódzkie,łęczycki,6982,243,2573,101,t1004
łódzkie,łowicki,14046,378,5421,138,t1005
łódzkie,łódzki wschodni,3994,276,1516,100,t1006
łódzkie,opoczyński,6712,165,2311,58,t1007
łódzkie,pabianicki,12077,341,4116,155,t1008
łódzkie,pajęczański,3515,206,1217,87,t1009
łódzkie,piotrkowski,4616,78,1715,24,t1010
łódzkie,poddębicki,3749,115,1338,12,t1011
łódzkie,radomszczański,11609,252,4343,76,t1012
łódzkie,rawski,3907,209,1428,51,t1013
łódzkie,sieradzki,10447,351,3778,98,t1014
łódzkie,skierniewicki,2412,31,897,0,t1015
łódzkie,tomaszowski,11616,259,3816,83,t1016
łódzkie,wieluński,8344,364,2879,129,t1017
łódzkie,wieruszowski,4183,146,1517,52,t1018
łódzkie,zduńskowolski,6146,138,2077,49,t1019
łódzkie,zgierski,15454,228,5641,45,t1020
łódzkie,brzeziński,5561,96,1938,23,t1021
łódzkie,Łódź,137827,3468,52806,1173,t1061
łódzkie,Piotrków Trybunalski,11035,292,3754,126,t1062
łódzkie,Skierniewice,8965,216,3028,73,t1063
małopolskie,bocheński,7465,215,2434,79,t1201
małopolskie,brzeski,9200,291,3187,105,t1202
małopolskie,chrzanowski,13319,424,4711,83,t1203
małopolskie,dąbrowski,5629,183,1989,92,t1204
małopolskie,gorlicki,12965,485,4952,156,t1205
małopolskie,krakowski,14744,687,5518,178,t1206
