wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,35900,1745,6071,864,t00
dolnośląskie,bolesławiecki,30759,995,8721,280,t0201
dolnośląskie,dzierżoniowski,28864,606,8065,42,t0202
dolnośląskie,głogowski,26447,685,7689,559,t0203
dolnośląskie,górowski,9594,126,2444,36,t0204
dolnośląskie,jaworski,18090,357,4581,151,t0205
dolnośląskie,jeleniogórski,24988,636,7385,349,t0206
dolnośląskie,kamiennogórski,12660,457,3579,275,t0207
dolnośląskie,kłodzki,60618,1064,19360,388,t0208
dolnośląskie,legnicki,14611,431,3128,102,t0209
dolnośląskie,lubański,11104,135,3708,74,t0210
dolnośląskie,lubiński,59909,1611,15296,662,t0211
dolnośląskie,lwówecki,16211,381,4694,173,t0212
dolnośląskie,milicki,14963,277,4356,165,t0213
dolnośląskie,oleśnicki,26346,1015,6723,284,t0214
dolnośląskie,oławski,25320,454,8469,234,t0215
dolnośląskie,polkowicki,11077,724,2081,18,t0216
dolnośląskie,strzeliński,16096,191,4547,129,t0217
dolnośląskie,średzki,10736,111,3406,8,t0218
dolnośląskie,świdnicki,38014,983,12095,414,t0219
dolnośląskie,trzebnicki,27707,462,9074,255,t0220
dolnośląskie,wałbrzyski,16700,623,5313,455,t0221
dolnośląskie,wołowski,17433,434,5070,165,t0222
dolnośląskie,wrocławski,41960,565,10635,158,t0223
dolnośląskie,ząbkowicki,24689,210,8003,169,t0224
dolnośląskie,zgorzelecki,25805,659,7789,36,t0225
dolnośląskie,złotoryjski,15396,421,4069,57,t0226
dolnośląskie,Jelenia Góra,38870,1210,10682,276,t0261
dolnośląskie,Legnica,37797,1047,8998,320,t0262
dolnośląskie,Wrocław,449333,9606,109099,2935,t0264
dolnośląskie,Wałbrzych,116015,1387,33968,978,t0265
kujawsko-pomorskie,aleksandrowski,74560,1138,22878,503,t0401
kujawsko-pomorskie,brodnicki,27848,746,7641,96,t0402
kujawsko-pomorskie,bydgoski,29632,566,6737,83,t0403
kujawsko-pomorskie,chełmiński,16253,268,4197,169,t0404
kujawsko-pomorskie,golubsko-dobrzyński,12085,433,3473,85,t0405
kujawsko-pomorskie,grudziądzki,8192,18,2019,12,t0406
kujawsko-pomorskie,inowrocławski,48149,913,12371,308,t0407
kujawsko-pomorskie,lipnowski,21488,594,5750,111,t0408
kujawsko-pomorskie,mogileński,10829,237,2757,158,t0409
kujawsko-pomorskie,nakielski,18378,424,4052,189,t0410
kujawsko-pomorskie,radziejowski,16686,386,4356,203,t0411
kujawsko-pomorskie,rypiński,13897,191,4155,71,t0412
kujawsko-pomorskie,sępoleński,19502,440,5243,56,t0413
kujawsko-pomorskie,świecki,29991,521,7828,276,t0414
kujawsko-pomorskie,toruński,25719,616,5131,49,t0415
kujawsko-pomorskie,tucholski,13679,233,3677,31,t0416
kujawsko-pomorskie,wąbrzeski,10287,223,2957,40,t0417
kujawsko-pomorskie,włocławski,23854,579,5803,143,t0418
kujawsko-pomorskie,żniński,19497,387,5175,126,t0419
kujawsko-pomorskie,Bydgoszcz,186734,3985,48120,1678,t0461
kujawsko-pomorskie,Grudziądz,53248,1402,11642,767,t0462
kujawsko-pomorskie,Toruń,71498,1567,19053,786,t0463
kujawsko-pomorskie,Włocławek,34464,724,8034,110,t0464
lubelskie,bialski,29206,610,8515,184,t0601
lubelskie,biłgorajski,25838,621,8317,439,t0602
lubelskie,chełmski,16612,315,4893,114,t0603
lubelskie,hrubieszowski,19402,374,6163,179,t0604
lubelskie,janowski,14507,239,4943,98,t0605
lubelskie,krasnostawski,18259,303,5358,111,t0606
lubelskie,kraśnicki,31258,858,8049,241,t0607
lubelskie,lubartowski,25012,290,7761,122,t0608
lubelskie,lubelski,39237,1047,11161,171,t0609
lubelskie,łęczyński,19806,359,6070,246,t0610
lubelskie,łukowski,25563,311,7479,240,t0611
lubelskie,opolski,19759,242,5604,43,t0612
lubelskie,parczewski,13988,100,4201,81,t0613
lubelskie,puławski,48112,878,15046,627,t0614
lubelskie,radzyński,14745,250,5143,151,t0615
lubelskie,rycki,24790,429,6917,264,t0616
lubelskie,świdnicki,19634,718,5731,112,t0617
lubelskie,tomaszowski,25772,610,7347,239,t0618
lubelskie,włodawski,17578,253,5059,127,t0619
lubelskie,zamojski,23254,490,7435,226,t0620
lubelskie,Biała Podlaska,33640,663,8197,386,t0661
lubelskie,Chełm,28143,665,7209,328,t0662
lubelskie,Lublin,229964,4537,68961,1992,t0663
lubelskie,Zamość,43922,1152,12330,594,t0664
lubuskie,gorzowski,14765,224,4646,126,t0801
lubuskie,krośnieński,23354,727,5553,257,t0802
lubuskie,międzyrzecki,31429,563,8397,130,t0803
lubuskie,nowosolski,37258,1060,8589,395,t0804
lubuskie,słubicki,15143,264,3685,51,t0805
lubuskie,strzelecko-drezdenecki,21003,302,5928,156,t0806
lubuskie,sulęciński,11235,160,3071,60,t0807
lubuskie,świebodziński,23313,567,7519,208,t0808
lubuskie,zielonogórski,41968,2170,12735,1865,t0809
lubuskie,żagański,22716,442,5701,172,t0810
lubuskie,żarski,48451,937,11366,384,t0811
lubuskie,wschowski,8696,122,2508,62,t0812
lubuskie,Gorzów Wielkopolski,56438,1158,15215,746,t0861
lubuskie,Zielona Góra,57028,639,19365,247,t0862
łódzkie,bełchatowski,28152,562,8171,112,t1001
łódzkie,kutnowski,36137,555,9102,51,t1002
