wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,261,18,101,0,t00,134,7,0,0,26,11
dolnośląskie,bolesławiecki,106224,80,37807,10,t0201,46845,2,143,0,21429,68
dolnośląskie,dzierżoniowski,103768,144,36817,39,t0202,42110,24,132,0,24709,81
dolnośląskie,głogowski,103054,17,34417,1,t0203,41780,1,178,0,26679,15
dolnośląskie,górowski,37776,89,13750,35,t0204,16411,5,62,0,7553,49
dolnośląskie,jaworski,58890,11,20453,0,t0205,25084,1,39,0,13314,10
dolnośląskie,jeleniogórski,71314,0,26063,0,t0206,31332,0,393,0,13526,0
dolnośląskie,kamiennogórski,48162,0,16865,0,t0207,19412,0,106,0,11779,0
dolnośląskie,kłodzki,186535,3,67134,0,t0208,77570,0,1251,0,40580,3
dolnośląskie,legnicki,62898,107,21807,42,t0209,27314,1,265,0,13512,64
dolnośląskie,lubański,47090,6,14495,0,t0210,20213,0,109,0,12273,6
dolnośląskie,lubiński,174858,0,66257,0,t0211,73411,0,993,0,34197,0
dolnośląskie,lwówecki,62497,25,22517,6,t0212,26364,2,318,0,13298,17
dolnośląskie,milicki,49058,95,18455,37,t0213,20726,16,117,2,9760,40
dolnośląskie,oleśnicki,163189,323,54879,92,t0214,66707,27,513,0,41090,204
dolnośląskie,oławski,57612,10,22725,1,t0215,25838,0,98,0,8951,9
dolnośląskie,polkowicki,60829,0,20943,0,t0216,26891,0,49,0,12946,0
dolnośląskie,strzeliński,53827,0,19745,0,t0217,22506,0,518,0,11058,0
dolnośląskie,średzki,37285,34,12412,8,t0218,14336,3,484,0,10053,23
dolnośląskie,świdnicki,160269,179,54375,62,t0219,64615,40,1190,1,40089,76
dolnośląskie,trzebnicki,88336,113,32786,36,t0220,35249,16,408,0,19893,61
dolnośląskie,wałbrzyski,45016,1,16830,0,t0221,18406,0,257,0,9523,1
dolnośląskie,wołowski,62215,0,21779,0,t0222,27761,0,315,0,12360,0
dolnośląskie,wrocławski,156045,494,56598,201,t0223,63337,55,1202,13,34908,225
dolnośląskie,ząbkowicki,80068,43,29024,18,t0224,34243,5,329,0,16472,20
dolnośląskie,zgorzelecki,93191,37,31141,7,t0225,38867,2,219,0,22964,28
dolnośląskie,złotoryjski,52414,0,18045,0,t0226,22160,0,208,0,12001,0
dolnośląskie,Jelenia Góra,132685,53,48874,5,t0261,53594,1,456,0,29761,47
dolnośląskie,Legnica,133412,83,47959,39,t0262,55671,16,462,8,29320,20
dolnośląskie,Wrocław,1485065,1056,546641,372,t0264,629085,98,4735,0,304604,586
dolnośląskie,Wałbrzych,272900,68,105619,10,t0265,122201,9,792,0,44288,49
kujawsko-pomorskie,aleksandrowski,158483,0,66619,0,t0401,73009,0,529,0,18326,0
kujawsko-pomorskie,brodnicki,104644,15,39226,2,t0402,44517,0,1459,0,19442,13
kujawsko-pomorskie,bydgoski,112646,144,41742,62,t0403,46361,18,391,0,24152,64
kujawsko-pomorskie,chełmiński,62163,18,22682,6,t0404,25437,0,44,0,14000,12
kujawsko-pomorskie,golubsko-dobrzyński,48143,105,18477,1,t0405,21242,2,341,0,8083,102
kujawsko-pomorskie,grudziądzki,37074,0,13662,0,t0406,16501,0,23,0,6888,0
kujawsko-pomorskie,inowrocławski,150047,55,55770,12,t0407,62022,7,504,0,31751,36
kujawsko-pomorskie,lipnowski,76209,33,28336,12,t0408,33096,2,343,0,14434,19
kujawsko-pomorskie,mogileński,53567,35,18730,8,t0409,21711,1,191,0,12935,26
kujawsko-pomorskie,nakielski,125915,247,43671,70,t0410,55702,24,483,0,26059,153
kujawsko-pomorskie,radziejowski,59396,115,22978,49,t0411,25789,14,647,0,9982,52
kujawsko-pomorskie,rypiński,52721,0,19354,0,t0412,22034,0,100,0,11233,0
kujawsko-pomorskie,sępoleński,65450,0,24624,0,t0413,29668,0,133,0,11025,0
kujawsko-pomorskie,świecki,117773,39,41832,10,t0414,49755,4,399,0,25787,25
kujawsko-pomorskie,toruński,96462,6,35239,0,t0415,44222,0,432,0,16569,6
kujawsko-pomorskie,tucholski,56459,26,20680,2,t0416,24107,2,205,1,11467,21
kujawsko-pomorskie,wąbrzeski,40402,37,14690,19,t0417,17670,5,241,13,7801,0
kujawsko-pomorskie,włocławski,91152,0,35164,0,t0418,38582,0,277,0,17129,0
kujawsko-pomorskie,żniński,71725,155,28102,23,t0419,30919,7,540,0,12164,125
kujawsko-pomorskie,Bydgoszcz,650712,793,227771,284,t0461,266349,72,1517,0,155075,437
kujawsko-pomorskie,Grudziądz,175676,61,64475,18,t0462,76169,4,605,0,34427,39
kujawsko-pomorskie,Toruń,318967,481,105416,177,t0463,125685,58,1178,0,86688,246
kujawsko-pomorskie,Włocławek,152613,66,49778,11,t0464,63728,5,1180,0,37927,50
lubelskie,bialski,89570,0,32587,0,t0601,38710,0,642,0,17631,0
lubelskie,biłgorajski,80405,5,29757,0,t0602,33604,0,82,0,16962,5
lubelskie,chełmski,52857,0,19877,0,t0603,21975,0,367,0,10638,0
lubelskie,hrubieszowski,66738,0,23978,0,t0604,28428,0,1571,0,12761,0
lubelskie,janowski,43180,0,16705,0,t0605,19078,0,539,0,6858,0
lubelskie,krasnostawski,61219,4,21883,0,t0606,25621,2,556,0,13159,2
lubelskie,kraśnicki,97650,23,36765,8,t0607,41332,4,367,0,19186,11
lubelskie,lubartowski,81226,2,30789,0,t0608,34772,1,1316,0,14349,1
lubelskie,lubelski,124695,113,45575,31,t0609,54037,14,765,1,24318,67
