wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,45749,-,-,11.93,272,49,223,43052,67202,556527,162816,53630,105737,3449,t00,2022-02-04
dolnośląskie,-,-,3391,-,-,11.7,10,6,4,2847,5238,40534,11525,4027,7180,318,t02,2022-02-04
kujawsko-pomorskie,-,-,2702,-,-,13.06,12,1,11,3135,2825,27196,9145,3237,5764,144,t04,2022-02-04
lubelskie,-,-,2299,-,-,10.93,14,0,14,2744,3778,31145,8808,2721,6006,81,t06,2022-02-04
lubuskie,-,-,1029,-,-,10.19,4,2,2,1282,952,13947,3711,1213,2401,97,t08,2022-02-04
łódzkie,-,-,3338,-,-,13.63,38,4,34,2812,3878,40515,11880,4022,7641,217,t10,2022-02-04
małopolskie,-,-,2872,-,-,8.41,41,11,30,2830,4969,39995,10310,3293,6725,292,t12,2022-02-04
mazowieckie,-,-,6536,-,-,12.04,20,8,12,5254,10917,81510,26392,7565,18308,519,t14,2022-02-04
opolskie,-,-,1380,-,-,14.07,5,0,5,1034,1430,14537,4388,1633,2673,82,t16,2022-02-04
podkarpackie,-,-,1382,-,-,6.5,27,2,25,1567,3065,28968,6149,1645,4470,34,t18,2022-02-04
podlaskie,-,-,1026,-,-,8.72,4,0,4,1297,1367,12222,3825,1196,2567,62,t20,2022-02-04
pomorskie,-,-,3216,-,-,13.7,25,2,23,2966,5748,44473,11378,3748,7223,407,t22,2022-02-04
śląskie,-,-,6098,-,-,13.53,22,1,21,5089,10960,76940,20118,7079,12468,571,t24,2022-02-04
świętokrzyskie,-,-,997,-,-,8.11,11,1,10,1177,1288,12693,3672,1180,2415,77,t26,2022-02-04
warmińsko-mazurskie,-,-,1617,-,-,11.38,9,5,4,1862,2229,15529,6081,1955,4065,61,t28,2022-02-04
wielkopolskie,-,-,5460,-,-,15.6,14,5,9,4627,5640,54035,16059,6295,9488,276,t30,2022-02-04
zachodniopomorskie,-,-,2259,-,-,13.34,16,1,15,2471,2788,22007,7759,2655,4913,191,t32,2022-02-04
