wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,10548,-,-,2.75,438,100,338,16429,13071,168496,58371,11952,45261,1158,t0000
dolnośląskie,bolesławiecki,-,-,31,-,-,3.44,2,0,2,47,35,475,158,39,116,3,t0201
dolnośląskie,dzierżoniowski,-,-,10,-,-,0.99,0,0,0,16,11,176,98,12,84,2,t0202
dolnośląskie,głogowski,-,-,19,-,-,2.14,0,0,0,30,25,279,123,20,102,1,t0203
dolnośląskie,górowski,-,-,3,-,-,0.86,2,0,2,14,11,126,44,3,41,0,t0204
dolnośląskie,jaworski,-,-,6,-,-,1.2,0,0,0,15,17,165,33,6,27,0,t0205
dolnośląskie,jeleniogórski,-,-,14,-,-,2.21,0,0,0,5,19,155,65,18,47,0,t0206
dolnośląskie,kamiennogórski,-,-,5,-,-,1.16,5,5,0,4,5,68,35,5,28,2,t0207
dolnośląskie,kłodzki,-,-,17,-,-,1.08,0,0,0,33,32,408,108,19,89,0,t0208
dolnośląskie,legnicki,-,-,6,-,-,1.09,0,0,0,8,11,146,42,8,33,1,t0209
dolnośląskie,lubański,-,-,8,-,-,1.48,0,0,0,16,33,276,62,8,53,1,t0210
dolnośląskie,lubiński,-,-,19,-,-,1.79,1,0,1,20,21,241,130,20,108,2,t0211
dolnośląskie,lwówecki,-,-,6,-,-,1.31,1,1,0,22,8,126,63,7,56,0,t0212
dolnośląskie,milicki,-,-,9,-,-,2.44,0,0,0,13,8,163,45,9,36,0,t0213
dolnośląskie,oleśnicki,-,-,9,-,-,0.84,0,0,0,21,28,333,85,12,73,0,t0214
dolnośląskie,oławski,-,-,10,-,-,1.3,0,0,0,24,37,379,93,10,82,1,t0215
dolnośląskie,polkowicki,-,-,11,-,-,1.74,2,1,1,17,9,153,62,11,49,2,t0216
dolnośląskie,strzeliński,-,-,30,-,-,6.9,0,0,0,13,1,149,62,30,31,1,t0217
dolnośląskie,średzki,-,-,15,-,-,2.71,0,0,0,18,7,214,74,15,58,1,t0218
dolnośląskie,świdnicki,-,-,27,-,-,1.72,0,0,0,37,32,702,187,30,155,2,t0219
dolnośląskie,trzebnicki,-,-,20,-,-,2.34,0,0,0,17,19,320,104,21,79,4,t0220
dolnośląskie,wałbrzyski,-,-,4,-,-,0.72,0,0,0,13,17,157,88,4,83,1,t0221
dolnośląskie,wołowski,-,-,4,-,-,0.86,0,0,0,20,21,215,51,6,41,4,t0222
dolnośląskie,wrocławski,-,-,39,-,-,2.53,1,1,0,79,43,732,199,41,154,4,t0223
dolnośląskie,ząbkowicki,-,-,14,-,-,2.17,1,1,0,19,22,217,70,16,53,1,t0224
dolnośląskie,zgorzelecki,-,-,3,-,-,0.34,1,1,0,31,20,370,65,5,56,4,t0225
