wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,573,102,675,0.15,0.03,0.18,0,0,0,52,0,0,3371,737,2618,16,t0000,2022-09-17
dolnośląskie,bolesławiecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0201,2022-09-17
dolnośląskie,dzierżoniowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0202,2022-09-17
dolnośląskie,głogowski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,1,1,0,0,t0203,2022-09-17
dolnośląskie,górowski,1,0,1,0.29,0.0,0.29,0,0,0,0,0,0,2,1,1,0,t0204,2022-09-17
dolnośląskie,jaworski,0,1,1,0.0,0.2,0.2,0,0,0,0,0,0,4,1,3,0,t0205,2022-09-17
dolnośląskie,jeleniogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0206,2022-09-17
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2022-09-17
dolnośląskie,kłodzki,1,0,1,0.06,0.0,0.06,0,0,0,0,0,0,4,1,3,0,t0208,2022-09-17
dolnośląskie,legnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0209,2022-09-17
dolnośląskie,lubański,1,0,1,0.18,0.0,0.18,0,0,0,0,0,0,1,1,0,0,t0210,2022-09-17
dolnośląskie,lubiński,0,1,1,0.0,0.09,0.09,0,0,0,0,0,0,3,1,2,0,t0211,2022-09-17
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0212,2022-09-17
dolnośląskie,milicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0213,2022-09-17
dolnośląskie,oleśnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0214,2022-09-17
dolnośląskie,oławski,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,4,1,3,0,t0215,2022-09-17
dolnośląskie,polkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0216,2022-09-17
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0217,2022-09-17
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0218,2022-09-17
dolnośląskie,świdnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0219,2022-09-17
dolnośląskie,trzebnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0220,2022-09-17
dolnośląskie,wałbrzyski,2,0,2,0.36,0.0,0.36,0,0,0,0,0,0,3,2,1,0,t0221,2022-09-17
dolnośląskie,wołowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0222,2022-09-17
dolnośląskie,wrocławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,5,1,t0223,2022-09-17
dolnośląskie,ząbkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0224,2022-09-17
dolnośląskie,zgorzelecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0225,2022-09-17
dolnośląskie,złotoryjski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0226,2022-09-17
dolnośląskie,Jelenia Góra,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0261,2022-09-17
dolnośląskie,Legnica,2,0,2,0.2,0.0,0.2,0,0,0,0,0,0,5,2,3,0,t0262,2022-09-17
dolnośląskie,Wrocław,6,2,8,0.09,0.03,0.12,0,0,0,0,0,0,36,9,27,0,t0264,2022-09-17
dolnośląskie,Wałbrzych,2,0,2,0.18,0.0,0.18,0,0,0,0,0,0,8,2,5,1,t0265,2022-09-17
kujawsko-pomorskie,aleksandrowski,1,0,1,0.18,0.0,0.18,0,0,0,0,0,0,1,1,0,0,t0401,2022-09-17
kujawsko-pomorskie,brodnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0402,2022-09-17
kujawsko-pomorskie,bydgoski,1,0,1,0.08,0.0,0.08,0,0,0,0,0,0,4,1,3,0,t0403,2022-09-17
kujawsko-pomorskie,chełmiński,1,0,1,0.19,0.0,0.19,0,0,0,0,0,0,2,1,1,0,t0404,2022-09-17
kujawsko-pomorskie,golubsko-dobrzyński,1,0,1,0.22,0.0,0.22,0,0,0,0,0,0,1,1,0,0,t0405,2022-09-17
kujawsko-pomorskie,grudziądzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0406,2022-09-17
kujawsko-pomorskie,inowrocławski,1,0,1,0.06,0.0,0.06,0,0,0,0,0,0,5,2,3,0,t0407,2022-09-17
kujawsko-pomorskie,lipnowski,1,0,1,0.15,0.0,0.15,0,0,0,0,0,0,1,1,0,0,t0408,2022-09-17
kujawsko-pomorskie,mogileński,2,0,2,0.44,0.0,0.44,0,0,0,0,0,0,3,2,1,0,t0409,2022-09-17
kujawsko-pomorskie,nakielski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,1,3,0,t0410,2022-09-17
kujawsko-pomorskie,radziejowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0411,2022-09-17
kujawsko-pomorskie,rypiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0412,2022-09-17
kujawsko-pomorskie,sępoleński,1,0,1,0.24,0.0,0.24,0,0,0,0,0,0,5,1,4,0,t0413,2022-09-17
kujawsko-pomorskie,świecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0414,2022-09-17
kujawsko-pomorskie,toruński,0,1,1,0.0,0.09,0.09,0,0,0,0,0,0,10,1,9,0,t0415,2022-09-17
kujawsko-pomorskie,tucholski,2,0,2,0.41,0.0,0.41,0,0,0,0,0,0,4,3,1,0,t0416,2022-09-17
kujawsko-pomorskie,wąbrzeski,1,1,2,0.29,0.29,0.59,0,0,0,1,0,0,3,2,1,0,t0417,2022-09-17
kujawsko-pomorskie,włocławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0418,2022-09-17
kujawsko-pomorskie,żniński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0419,2022-09-17
kujawsko-pomorskie,Bydgoszcz,1,1,2,0.03,0.03,0.06,0,0,0,0,0,0,8,2,6,0,t0461,2022-09-17
kujawsko-pomorskie,Grudziądz,2,1,3,0.21,0.11,0.32,0,0,0,0,0,0,6,3,3,0,t0462,2022-09-17
kujawsko-pomorskie,Toruń,1,0,1,0.05,0.0,0.05,0,0,0,0,0,0,7,1,6,0,t0463,2022-09-17
kujawsko-pomorskie,Włocławek,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0464,2022-09-17
lubelskie,bialski,6,0,6,0.54,0.0,0.54,0,0,0,0,0,0,16,6,10,0,t0601,2022-09-17
lubelskie,biłgorajski,5,0,5,0.5,0.0,0.5,0,0,0,0,0,0,8,5,3,0,t0602,2022-09-17
lubelskie,chełmski,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,3,1,2,0,t0603,2022-09-17
lubelskie,hrubieszowski,1,0,1,0.16,0.0,0.16,0,0,0,0,0,0,7,1,6,0,t0604,2022-09-17
lubelskie,janowski,1,0,1,0.22,0.0,0.22,0,0,0,0,0,0,3,1,2,0,t0605,2022-09-17
lubelskie,krasnostawski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t0606,2022-09-17
lubelskie,kraśnicki,8,2,10,0.84,0.21,1.05,0,0,0,0,0,0,32,10,21,1,t0607,2022-09-17
lubelskie,lubartowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0608,2022-09-17
lubelskie,lubelski,4,2,6,0.26,0.13,0.38,0,0,0,0,0,0,27,7,20,0,t0609,2022-09-17
lubelskie,łęczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0610,2022-09-17
lubelskie,łukowski,7,4,11,0.66,0.38,1.03,0,0,0,0,0,0,15,11,4,0,t0611,2022-09-17
lubelskie,opolski,1,0,1,0.17,0.0,0.17,0,0,0,0,0,0,2,1,1,0,t0612,2022-09-17
lubelskie,parczewski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0613,2022-09-17
lubelskie,puławski,1,0,1,0.09,0.0,0.09,0,0,0,1,0,0,10,1,9,0,t0614,2022-09-17
lubelskie,radzyński,1,0,1,0.17,0.0,0.17,0,0,0,0,0,0,4,1,3,0,t0615,2022-09-17
lubelskie,rycki,2,0,2,0.36,0.0,0.36,0,0,0,0,0,0,14,3,11,0,t0616,2022-09-17
lubelskie,świdnicki,1,0,1,0.14,0.0,0.14,0,0,0,0,0,0,6,1,5,0,t0617,2022-09-17
lubelskie,tomaszowski,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,2,1,1,0,t0618,2022-09-17
lubelskie,włodawski,1,0,1,0.26,0.0,0.26,0,0,0,1,0,0,1,1,0,0,t0619,2022-09-17
lubelskie,zamojski,2,0,2,0.19,0.0,0.19,0,0,0,0,0,0,7,2,5,0,t0620,2022-09-17
lubelskie,Biała Podlaska,1,0,1,0.17,0.0,0.17,0,0,0,0,0,0,4,1,3,0,t0661,2022-09-17
lubelskie,Chełm,0,1,1,0.0,0.16,0.16,0,0,0,0,0,0,6,1,5,0,t0662,2022-09-17
lubelskie,Lublin,8,0,8,0.24,0.0,0.24,0,0,0,0,0,0,41,8,33,0,t0663,2022-09-17
lubelskie,Zamość,0,1,1,0.0,0.16,0.16,0,0,0,0,0,0,4,1,3,0,t0664,2022-09-17
lubuskie,gorzowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0801,2022-09-17
lubuskie,krośnieński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0802,2022-09-17
lubuskie,międzyrzecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0803,2022-09-17
lubuskie,nowosolski,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,3,1,2,0,t0804,2022-09-17
lubuskie,słubicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0805,2022-09-17
lubuskie,strzelecko-drezdenecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0806,2022-09-17
lubuskie,sulęciński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0807,2022-09-17
lubuskie,świebodziński,2,0,2,0.36,0.0,0.36,0,0,0,0,0,0,4,2,2,0,t0808,2022-09-17
lubuskie,zielonogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0809,2022-09-17
lubuskie,żagański,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,8,1,7,0,t0810,2022-09-17
lubuskie,żarski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,1,5,0,t0811,2022-09-17
lubuskie,wschowski,1,0,1,0.26,0.0,0.26,0,0,0,0,0,0,1,1,0,0,t0812,2022-09-17
lubuskie,Gorzów Wielkopolski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0861,2022-09-17
lubuskie,Zielona Góra,2,0,2,0.14,0.0,0.14,0,0,0,0,0,0,19,2,17,0,t0862,2022-09-17
łódzkie,bełchatowski,2,0,2,0.18,0.0,0.18,0,0,0,0,0,0,5,2,3,0,t1001,2022-09-17
łódzkie,kutnowski,1,0,1,0.1,0.0,0.1,0,0,0,0,0,0,6,2,4,0,t1002,2022-09-17
łódzkie,łaski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1003,2022-09-17
łódzkie,łęczycki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1004,2022-09-17
łódzkie,łowicki,2,0,2,0.26,0.0,0.26,0,0,0,0,0,0,6,2,4,0,t1005,2022-09-17
łódzkie,łódzki wschodni,1,1,2,0.14,0.14,0.28,0,0,0,0,0,0,8,3,5,0,t1006,2022-09-17
łódzkie,opoczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1007,2022-09-17
łódzkie,pabianicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t1008,2022-09-17
łódzkie,pajęczański,1,0,1,0.2,0.0,0.2,0,0,0,0,0,0,4,1,3,0,t1009,2022-09-17
łódzkie,piotrkowski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,1,1,0,0,t1010,2022-09-17
łódzkie,poddębicki,0,1,1,0.0,0.24,0.24,0,0,0,0,0,0,5,1,4,0,t1011,2022-09-17
łódzkie,radomszczański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1012,2022-09-17
łódzkie,rawski,0,1,1,0.0,0.21,0.21,0,0,0,0,0,0,3,1,2,0,t1013,2022-09-17
łódzkie,sieradzki,2,1,3,0.17,0.09,0.26,0,0,0,0,0,0,5,3,2,0,t1014,2022-09-17
łódzkie,skierniewicki,1,0,1,0.26,0.0,0.26,0,0,0,0,0,0,3,1,2,0,t1015,2022-09-17
łódzkie,tomaszowski,0,1,1,0.0,0.09,0.09,0,0,0,0,0,0,8,1,6,1,t1016,2022-09-17
łódzkie,wieluński,1,0,1,0.13,0.0,0.13,0,0,0,0,0,0,11,1,10,0,t1017,2022-09-17
łódzkie,wieruszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1018,2022-09-17
łódzkie,zduńskowolski,1,0,1,0.15,0.0,0.15,0,0,0,0,0,0,1,1,0,0,t1019,2022-09-17
łódzkie,zgierski,2,1,3,0.12,0.06,0.18,0,0,0,0,0,0,15,3,12,0,t1020,2022-09-17
łódzkie,brzeziński,1,0,1,0.32,0.0,0.32,0,0,0,0,0,0,3,1,2,0,t1021,2022-09-17
łódzkie,Łódź,21,2,23,0.31,0.03,0.34,0,0,0,0,0,0,89,23,65,1,t1061,2022-09-17
łódzkie,Piotrków Trybunalski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1062,2022-09-17
łódzkie,Skierniewice,3,0,3,0.63,0.0,0.63,0,0,0,0,0,0,6,3,3,0,t1063,2022-09-17
małopolskie,bocheński,2,0,2,0.19,0.0,0.19,0,0,0,0,0,0,7,2,5,0,t1201,2022-09-17
małopolskie,brzeski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,5,2,3,0,t1202,2022-09-17
małopolskie,chrzanowski,0,1,1,0.0,0.08,0.08,0,0,0,0,0,0,5,2,3,0,t1203,2022-09-17
małopolskie,dąbrowski,1,0,1,0.17,0.0,0.17,0,0,0,0,0,0,1,1,0,0,t1204,2022-09-17
małopolskie,gorlicki,3,0,3,0.28,0.0,0.28,0,0,0,0,0,0,8,5,3,0,t1205,2022-09-17
małopolskie,krakowski,0,1,1,0.0,0.04,0.04,0,0,0,0,0,0,19,1,18,0,t1206,2022-09-17
małopolskie,limanowski,1,0,1,0.08,0.0,0.08,0,0,0,0,0,0,7,1,6,0,t1207,2022-09-17
małopolskie,miechowski,1,0,1,0.21,0.0,0.21,0,0,0,0,0,0,4,1,3,0,t1208,2022-09-17
małopolskie,myślenicki,3,1,4,0.23,0.08,0.31,0,0,0,0,0,0,11,4,7,0,t1209,2022-09-17
małopolskie,nowosądecki,2,0,2,0.09,0.0,0.09,0,0,0,0,0,0,7,2,5,0,t1210,2022-09-17
małopolskie,nowotarski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t1211,2022-09-17
małopolskie,olkuski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1212,2022-09-17
małopolskie,oświęcimski,3,0,3,0.2,0.0,0.2,0,0,0,0,0,0,9,3,6,0,t1213,2022-09-17
małopolskie,proszowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t1214,2022-09-17
małopolskie,suski,1,1,2,0.12,0.12,0.24,0,0,0,0,0,0,17,3,14,0,t1215,2022-09-17
małopolskie,tarnowski,3,1,4,0.15,0.05,0.2,0,0,0,0,0,0,12,5,7,0,t1216,2022-09-17
małopolskie,tatrzański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1217,2022-09-17
małopolskie,wadowicki,4,0,4,0.25,0.0,0.25,0,0,0,2,0,0,12,4,8,0,t1218,2022-09-17
małopolskie,wielicki,1,0,1,0.08,0.0,0.08,0,0,0,0,0,0,7,1,6,0,t1219,2022-09-17
małopolskie,Kraków,7,0,7,0.09,0.0,0.09,0,0,0,0,0,0,69,9,60,0,t1261,2022-09-17
małopolskie,Nowy Sącz,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1262,2022-09-17
małopolskie,Tarnów,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,6,1,5,0,t1263,2022-09-17
mazowieckie,białobrzeski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1401,2022-09-17
mazowieckie,ciechanowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,1,2,0,t1402,2022-09-17
mazowieckie,garwoliński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t1403,2022-09-17
mazowieckie,gostyniński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t1404,2022-09-17
mazowieckie,grodziski,1,0,1,0.1,0.0,0.1,0,0,0,0,0,0,8,1,7,0,t1405,2022-09-17
mazowieckie,grójecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t1406,2022-09-17
mazowieckie,kozienicki,2,1,3,0.33,0.17,0.5,0,0,0,4,0,0,7,3,4,0,t1407,2022-09-17
mazowieckie,legionowski,0,1,1,0.0,0.08,0.08,0,0,0,1,0,0,7,1,6,0,t1408,2022-09-17
mazowieckie,lipski,2,0,2,0.59,0.0,0.59,0,0,0,0,0,0,4,2,2,0,t1409,2022-09-17
mazowieckie,łosicki,1,0,1,0.33,0.0,0.33,0,0,0,0,0,0,1,1,0,0,t1410,2022-09-17
mazowieckie,makowski,1,0,1,0.22,0.0,0.22,0,0,0,0,0,0,6,1,5,0,t1411,2022-09-17
mazowieckie,miński,2,0,2,0.13,0.0,0.13,0,0,0,0,0,0,11,2,9,0,t1412,2022-09-17
mazowieckie,mławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t1413,2022-09-17
