wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,540,-,-,0.14,8,3,5,698,0,0,4235,585,3636,14,t0000,2023-01-26
dolnośląskie,bolesławiecki,-,-,3,-,-,0.33,0,0,0,1,0,0,11,3,8,0,t0201,2023-01-26
dolnośląskie,dzierżoniowski,-,-,3,-,-,0.3,0,0,0,3,0,0,11,3,8,0,t0202,2023-01-26
dolnośląskie,głogowski,-,-,3,-,-,0.34,0,0,0,0,0,0,14,3,11,0,t0203,2023-01-26
dolnośląskie,górowski,-,-,1,-,-,0.29,0,0,0,6,0,0,8,1,7,0,t0204,2023-01-26
dolnośląskie,jaworski,-,-,1,-,-,0.2,0,0,0,0,0,0,6,1,5,0,t0205,2023-01-26
dolnośląskie,jeleniogórski,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t0206,2023-01-26
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2023-01-26
dolnośląskie,kłodzki,-,-,1,-,-,0.06,0,0,0,1,0,0,4,1,3,0,t0208,2023-01-26
dolnośląskie,legnicki,-,-,1,-,-,0.18,0,0,0,0,0,0,11,1,10,0,t0209,2023-01-26
dolnośląskie,lubański,-,-,1,-,-,0.18,0,0,0,1,0,0,10,1,9,0,t0210,2023-01-26
dolnośląskie,lubiński,-,-,1,-,-,0.09,0,0,0,1,0,0,7,1,6,0,t0211,2023-01-26
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,0,0,0,13,0,13,0,t0212,2023-01-26
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,0,0,0,0,0,0,0,t0213,2023-01-26
dolnośląskie,oleśnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t0214,2023-01-26
dolnośląskie,oławski,-,-,1,-,-,0.13,0,0,0,0,0,0,4,1,3,0,t0215,2023-01-26
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,0,0,0,3,0,3,0,t0216,2023-01-26
dolnośląskie,strzeliński,-,-,1,-,-,0.23,0,0,0,0,0,0,4,1,3,0,t0217,2023-01-26
dolnośląskie,średzki,-,-,1,-,-,0.18,0,0,0,0,0,0,5,2,3,0,t0218,2023-01-26
dolnośląskie,świdnicki,-,-,0,-,-,0.0,0,0,0,0,0,0,11,0,11,0,t0219,2023-01-26
dolnośląskie,trzebnicki,-,-,3,-,-,0.35,0,0,0,0,0,0,8,3,5,0,t0220,2023-01-26
dolnośląskie,wałbrzyski,-,-,1,-,-,0.18,0,0,0,2,0,0,5,1,4,0,t0221,2023-01-26
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t0222,2023-01-26
dolnośląskie,wrocławski,-,-,8,-,-,0.52,0,0,0,5,0,0,15,8,7,0,t0223,2023-01-26
dolnośląskie,ząbkowicki,-,-,0,-,-,0.0,0,0,0,1,0,0,11,0,10,1,t0224,2023-01-26
dolnośląskie,zgorzelecki,-,-,0,-,-,0.0,0,0,0,1,0,0,1,0,1,0,t0225,2023-01-26
dolnośląskie,złotoryjski,-,-,0,-,-,0.0,0,0,0,2,0,0,3,0,3,0,t0226,2023-01-26
dolnośląskie,Jelenia Góra,-,-,0,-,-,0.0,0,0,0,0,0,0,6,0,6,0,t0261,2023-01-26
dolnośląskie,Legnica,-,-,1,-,-,0.1,0,0,0,1,0,0,19,1,18,0,t0262,2023-01-26
dolnośląskie,Wrocław,-,-,2,-,-,0.03,0,0,0,8,0,0,37,2,34,1,t0264,2023-01-26
dolnośląskie,Wałbrzych,-,-,1,-,-,0.09,0,0,0,0,0,0,5,1,4,0,t0265,2023-01-26
kujawsko-pomorskie,aleksandrowski,-,-,2,-,-,0.36,0,0,0,2,0,0,8,2,6,0,t0401,2023-01-26
kujawsko-pomorskie,brodnicki,-,-,0,-,-,0.0,0,0,0,6,0,0,33,0,33,0,t0402,2023-01-26
kujawsko-pomorskie,bydgoski,-,-,2,-,-,0.17,0,0,0,2,0,0,14,3,10,1,t0403,2023-01-26
kujawsko-pomorskie,chełmiński,-,-,1,-,-,0.19,0,0,0,1,0,0,3,1,2,0,t0404,2023-01-26
kujawsko-pomorskie,golubsko-dobrzyński,-,-,2,-,-,0.44,0,0,0,0,0,0,4,2,2,0,t0405,2023-01-26
