wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,7914.0,-,-,2.06,311.0,60.0,251.0,28031,9792.0,158414,44673,9246,34545,882,t0000
dolnośląskie,bolesławiecki,-,-,38.0,-,-,4.22,,,,78,12.0,350,138,40,89,9,t0201
dolnośląskie,dzierżoniowski,-,-,4.0,-,-,0.4,,,,39,16.0,187,54,4,50,0,t0202
dolnośląskie,głogowski,-,-,1.0,-,-,0.11,,,,40,13.0,246,55,1,54,0,t0203
dolnośląskie,górowski,-,-,9.0,-,-,2.59,,,,28,2.0,88,28,10,18,0,t0204
dolnośląskie,jaworski,-,-,2.0,-,-,0.4,,,,24,1.0,136,20,2,16,2,t0205
dolnośląskie,jeleniogórski,-,-,11.0,-,-,1.74,4.0,1.0,3.0,45,5.0,158,40,12,28,0,t0206
dolnośląskie,kamiennogórski,-,-,1.0,-,-,0.23,,,,10,7.0,93,25,1,24,0,t0207
dolnośląskie,kłodzki,-,-,15.0,-,-,0.95,3.0,,3.0,54,24.0,320,133,20,109,4,t0208
dolnośląskie,legnicki,-,-,15.0,-,-,2.72,3.0,3.0,,32,9.0,150,51,15,34,2,t0209
dolnośląskie,lubański,-,-,7.0,-,-,1.29,,,,40,9.0,293,39,8,31,0,t0210
dolnośląskie,lubiński,-,-,12.0,-,-,1.13,,,,45,22.0,271,106,17,88,1,t0211
dolnośląskie,lwówecki,-,-,10.0,-,-,2.18,,,,20,12.0,124,34,12,20,2,t0212
dolnośląskie,milicki,-,-,,-,-,,,,,24,10.0,136,28,5,23,0,t0213
dolnośląskie,oleśnicki,-,-,12.0,-,-,1.12,,,,82,27.0,423,91,17,71,3,t0214
dolnośląskie,oławski,-,-,3.0,-,-,0.39,,,,57,17.0,372,57,5,50,2,t0215
dolnośląskie,polkowicki,-,-,4.0,-,-,0.63,,,,28,7.0,130,45,5,40,0,t0216
dolnośląskie,strzeliński,-,-,19.0,-,-,4.37,1.0,1.0,,31,6.0,116,48,20,28,0,t0217
dolnośląskie,średzki,-,-,2.0,-,-,0.36,1.0,,1.0,40,18.0,197,55,3,52,0,t0218
dolnośląskie,świdnicki,-,-,10.0,-,-,0.64,,,,76,28.0,717,159,11,145,3,t0219
dolnośląskie,trzebnicki,-,-,9.0,-,-,1.05,,,,39,15.0,313,78,11,67,0,t0220
dolnośląskie,wałbrzyski,-,-,5.0,-,-,0.9,,,,51,25.0,216,66,8,57,1,t0221
dolnośląskie,wołowski,-,-,3.0,-,-,0.64,,,,32,21.0,214,45,5,40,0,t0222
dolnośląskie,wrocławski,-,-,25.0,-,-,1.62,2.0,,2.0,99,45.0,807,202,33,164,5,t0223
dolnośląskie,ząbkowicki,-,-,4.0,-,-,0.62,1.0,1.0,,28,5.0,190,58,6,51,1,t0224
dolnośląskie,zgorzelecki,-,-,8.0,-,-,0.9,,,,61,5.0,350,56,13,41,2,t0225
dolnośląskie,złotoryjski,-,-,2.0,-,-,0.46,1.0,,1.0,11,7.0,256,19,2,16,1,t0226
dolnośląskie,Jelenia Góra,-,-,8.0,-,-,1.02,2.0,1.0,1.0,44,25.0,257,38,11,27,0,t0261
dolnośląskie,Legnica,-,-,18.0,-,-,1.82,2.0,2.0,,31,19.0,402,107,20,83,4,t0262
dolnośląskie,Wrocław,-,-,127.0,-,-,1.97,10.0,1.0,9.0,371,209.0,2363,1183,167,995,21,t0264
dolnośląskie,Wałbrzych,-,-,21.0,-,-,1.9,,,,64,35.0,325,278,27,251,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,7.0,-,-,1.27,,,,32,14.0,208,44,7,37,0,t0401
kujawsko-pomorskie,brodnicki,-,-,14.0,-,-,1.77,4.0,1.0,3.0,60,14.0,460,73,16,56,1,t0402
