wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,teryt,liczba_ozdrowiencow
Cały kraj,Cały kraj,-,-,12054,-,-,"3,14",186,38,148,t0000,-
dolnośląskie,bolesławiecki,-,-,28,-,-,"3,11",0,0,0,t0201,-
dolnośląskie,dzierżoniowski,-,-,18,-,-,"1,79",0,0,0,t0202,-
dolnośląskie,głogowski,-,-,19,-,-,"2,14",0,0,0,t0203,-
dolnośląskie,górowski,-,-,7,-,-,"2,02",0,0,0,t0204,-
dolnośląskie,jaworski,-,-,11,-,-,"2,20",0,0,0,t0205,-
dolnośląskie,jeleniogórski,-,-,13,-,-,"2,05",0,0,0,t0206,-
dolnośląskie,kamiennogórski,-,-,6,-,-,"1,39",0,0,0,t0207,-
dolnośląskie,kłodzki,-,-,38,-,-,"2,42",0,0,0,t0208,-
dolnośląskie,legnicki,-,-,7,-,-,"1,27",0,0,0,t0209,-
dolnośląskie,lubański,-,-,23,-,-,"4,25",0,0,0,t0210,-
dolnośląskie,lubiński,-,-,18,-,-,"1,70",0,0,0,t0211,-
dolnośląskie,lwówecki,-,-,3,-,-,"0,66",0,0,0,t0212,-
dolnośląskie,milicki,-,-,2,-,-,"0,54",0,0,0,t0213,-
dolnośląskie,oleśnicki,-,-,14,-,-,"1,30",0,0,0,t0214,-
dolnośląskie,oławski,-,-,15,-,-,"1,95",0,0,0,t0215,-
dolnośląskie,polkowicki,-,-,13,-,-,"2,06",0,0,0,t0216,-
dolnośląskie,strzeliński,-,-,0,-,-,0,0,0,0,t0217,-
dolnośląskie,średzki,-,-,12,-,-,"2,17",0,0,0,t0218,-
dolnośląskie,świdnicki,-,-,29,-,-,"1,85",0,0,0,t0219,-
dolnośląskie,trzebnicki,-,-,21,-,-,"2,46",0,0,0,t0220,-
dolnośląskie,wałbrzyski,-,-,13,-,-,"2,35",1,0,1,t0221,-
dolnośląskie,wołowski,-,-,21,-,-,"4,49",0,0,0,t0222,-
dolnośląskie,wrocławski,-,-,43,-,-,"2,79",0,0,0,t0223,-
dolnośląskie,ząbkowicki,-,-,21,-,-,"3,26",0,0,0,t0224,-
dolnośląskie,zgorzelecki,-,-,16,-,-,"1,80",0,0,0,t0225,-
dolnośląskie,złotoryjski,-,-,14,-,-,"3,24",0,0,0,t0226,-
dolnośląskie,Jelenia Góra,-,-,12,-,-,"1,52",0,0,0,t0261,-
dolnośląskie,Legnica,-,-,16,-,-,"1,61",0,0,0,t0262,-
dolnośląskie,Wrocław,-,-,145,-,-,"2,25",0,0,0,t0264,-
dolnośląskie,Wałbrzych,-,-,29,-,-,"2,62",3,2,1,t0265,-
kujawsko-pomorskie,aleksandrowski,-,-,15,-,-,"2,73",1,0,1,t0401,-
kujawsko-pomorskie,brodnicki,-,-,26,-,-,"3,29",0,0,0,t0402,-
kujawsko-pomorskie,bydgoski,-,-,79,-,-,"6,61",0,0,0,t0403,-
kujawsko-pomorskie,chełmiński,-,-,27,-,-,"5,21",1,0,1,t0404,-
kujawsko-pomorskie,golubsko-dobrzyński,-,-,24,-,-,"5,34",1,0,1,t0405,-
kujawsko-pomorskie,grudziądzki,-,-,35,-,-,"8,71",0,0,0,t0406,-
kujawsko-pomorskie,inowrocławski,-,-,72,-,-,"4,52",2,0,2,t0407,-
kujawsko-pomorskie,lipnowski,-,-,4,-,-,"0,61",0,0,0,t0408,-
kujawsko-pomorskie,mogileński,-,-,4,-,-,"0,88",0,0,0,t0409,-
kujawsko-pomorskie,nakielski,-,-,101,-,-,"11,71",0,0,0,t0410,-
kujawsko-pomorskie,radziejowski,-,-,31,-,-,"7,71",0,0,0,t0411,-
kujawsko-pomorskie,rypiński,-,-,11,-,-,"2,53",0,0,0,t0412,-
kujawsko-pomorskie,sępoleński,-,-,23,-,-,"5,62",1,0,1,t0413,-
kujawsko-pomorskie,świecki,-,-,63,-,-,"6,37",1,0,1,t0414,-
kujawsko-pomorskie,toruński,-,-,57,-,-,"5,23",1,0,1,t0415,-
kujawsko-pomorskie,tucholski,-,-,17,-,-,"3,52",1,0,1,t0416,-
kujawsko-pomorskie,wąbrzeski,-,-,8,-,-,"2,35",0,0,0,t0417,-
kujawsko-pomorskie,włocławski,-,-,22,-,-,"2,56",0,0,0,t0418,-
kujawsko-pomorskie,żniński,-,-,70,-,-,"9,99",0,0,0,t0419,-
kujawsko-pomorskie,Bydgoszcz,-,-,169,-,-,"4,87",0,0,0,t0461,-
kujawsko-pomorskie,Grudziądz,-,-,59,-,-,"6,27",6,2,4,t0462,-
kujawsko-pomorskie,Toruń,-,-,121,-,-,"6,02",3,2,1,t0463,-
kujawsko-pomorskie,Włocławek,-,-,40,-,-,"3,66",0,0,0,t0464,-
lubelskie,bialski,-,-,16,-,-,"1,45",0,0,0,t0601,-
lubelskie,biłgorajski,-,-,10,-,-,"0,99",0,0,0,t0602,-
lubelskie,chełmski,-,-,27,-,-,"3,47",0,0,0,t0603,-
lubelskie,hrubieszowski,-,-,2,-,-,"0,32",0,0,0,t0604,-
lubelskie,janowski,-,-,0,-,-,0,0,0,0,t0605,-
lubelskie,krasnostawski,-,-,15,-,-,"2,38",0,0,0,t0606,-
lubelskie,kraśnicki,-,-,11,-,-,"1,16",2,1,1,t0607,-
lubelskie,lubartowski,-,-,11,-,-,"1,25",0,0,0,t0608,-
lubelskie,lubelski,-,-,26,-,-,"1,67",0,0,0,t0609,-
lubelskie,łęczyński,-,-,14,-,-,"2,44",0,0,0,t0610,-
lubelskie,łukowski,-,-,7,-,-,"0,66",0,0,0,t0611,-
lubelskie,opolski,-,-,10,-,-,"1,70",0,0,0,t0612,-
lubelskie,parczewski,-,-,5,-,-,"1,45",0,0,0,t0613,-
lubelskie,puławski,-,-,37,-,-,"3,28",0,0,0,t0614,-
lubelskie,radzyński,-,-,2,-,-,"0,34",1,0,1,t0615,-
lubelskie,rycki,-,-,8,-,-,"1,43",0,0,0,t0616,-
lubelskie,świdnicki,-,-,12,-,-,"1,67",1,1,0,t0617,-
lubelskie,tomaszowski,-,-,0,-,-,0,0,0,0,t0618,-
lubelskie,włodawski,-,-,8,-,-,"2,09",0,0,0,t0619,-
lubelskie,zamojski,-,-,8,-,-,"0,76",0,0,0,t0620,-
lubelskie,Biała Podlaska,-,-,14,-,-,"2,45",0,0,0,t0661,-
lubelskie,Chełm,-,-,6,-,-,"0,97",0,0,0,t0662,-
lubelskie,Lublin,-,-,70,-,-,"2,06",0,0,0,t0663,-
lubelskie,Zamość,-,-,12,-,-,"1,90",0,0,0,t0664,-
lubuskie,gorzowski,-,-,31,-,-,"4,30",0,0,0,t0801,-
lubuskie,krośnieński,-,-,40,-,-,"7,31",0,0,0,t0802,-
lubuskie,międzyrzecki,-,-,27,-,-,"4,71",0,0,0,t0803,-
lubuskie,nowosolski,-,-,27,-,-,"3,14",0,0,0,t0804,-
lubuskie,słubicki,-,-,34,-,-,"7,25",0,0,0,t0805,-
lubuskie,strzelecko-drezdenecki,-,-,21,-,-,"4,30",0,0,0,t0806,-
lubuskie,sulęciński,-,-,19,-,-,"5,41",0,0,0,t0807,-
lubuskie,świebodziński,-,-,25,-,-,"4,49",0,0,0,t0808,-
lubuskie,zielonogórski,-,-,22,-,-,"2,91",1,0,1,t0809,-
lubuskie,żagański,-,-,11,-,-,"1,40",0,0,0,t0810,-
lubuskie,żarski,-,-,26,-,-,"2,71",2,2,0,t0811,-
lubuskie,wschowski,-,-,6,-,-,"1,55",0,0,0,t0812,-
lubuskie,Gorzów Wielkopolski,-,-,39,-,-,"3,16",0,0,0,t0861,-
lubuskie,Zielona Góra,-,-,51,-,-,"3,61",1,0,1,t0862,-
łódzkie,bełchatowski,-,-,9,-,-,"0,80",0,0,0,t1001,-
łódzkie,kutnowski,-,-,30,-,-,"3,12",0,0,0,t1002,-
łódzkie,łaski,-,-,4,-,-,"0,80",1,1,0,t1003,-
łódzkie,łęczycki,-,-,26,-,-,"5,25",0,0,0,t1004,-
łódzkie,łowicki,-,-,18,-,-,"2,31",0,0,0,t1005,-
łódzkie,łódzki wschodni,-,-,24,-,-,"3,31",4,0,4,t1006,-
łódzkie,opoczyński,-,-,1,-,-,"0,13",0,0,0,t1007,-
łódzkie,pabianicki,-,-,60,-,-,"5,03",0,0,0,t1008,-
łódzkie,pajęczański,-,-,8,-,-,"1,57",0,0,0,t1009,-
łódzkie,piotrkowski,-,-,19,-,-,"2,08",0,0,0,t1010,-
