wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,36995,-,-,9.65,252,63,189,80209,16406,946658,141880,43488,96164,2228,t0000,2022-01-24
dolnośląskie,bolesławiecki,-,-,175,-,-,19.44,3,0,3,245,27,2993,530,216,294,20,t0201,2022-01-24
dolnośląskie,dzierżoniowski,-,-,52,-,-,5.17,1,0,1,177,37,2460,221,61,157,3,t0202,2022-01-24
dolnośląskie,głogowski,-,-,72,-,-,8.1,1,0,1,184,30,2704,227,78,148,1,t0203,2022-01-24
dolnośląskie,górowski,-,-,22,-,-,6.34,1,1,0,60,1,518,106,26,80,0,t0204,2022-01-24
dolnośląskie,jaworski,-,-,67,-,-,13.42,1,1,0,94,13,986,164,80,70,14,t0205,2022-01-24
dolnośląskie,jeleniogórski,-,-,58,-,-,9.15,0,0,0,116,20,1476,193,73,115,5,t0206,2022-01-24
dolnośląskie,kamiennogórski,-,-,20,-,-,4.65,0,0,0,66,15,1049,131,32,99,0,t0207,2022-01-24
dolnośląskie,kłodzki,-,-,88,-,-,5.6,1,0,1,464,86,4341,356,108,245,3,t0208,2022-01-24
dolnośląskie,legnicki,-,-,42,-,-,7.61,1,1,0,79,13,1429,169,49,116,4,t0209,2022-01-24
dolnośląskie,lubański,-,-,46,-,-,8.51,0,0,0,185,15,1445,143,57,76,10,t0210,2022-01-24
dolnośląskie,lubiński,-,-,75,-,-,7.07,1,0,1,235,37,3204,310,89,206,15,t0211,2022-01-24
dolnośląskie,lwówecki,-,-,40,-,-,8.74,0,0,0,109,6,694,166,48,110,8,t0212,2022-01-24
dolnośląskie,milicki,-,-,75,-,-,20.32,0,0,0,182,18,2261,124,89,34,1,t0213,2022-01-24
dolnośląskie,oleśnicki,-,-,123,-,-,11.46,0,0,0,225,36,4369,364,145,213,6,t0214,2022-01-24
dolnośląskie,oławski,-,-,45,-,-,5.86,0,0,0,161,19,2561,186,53,132,1,t0215,2022-01-24
dolnośląskie,polkowicki,-,-,54,-,-,8.56,0,0,0,127,24,2083,199,66,133,0,t0216,2022-01-24
dolnośląskie,strzeliński,-,-,63,-,-,14.5,0,0,0,189,16,2177,208,73,135,0,t0217,2022-01-24
dolnośląskie,średzki,-,-,62,-,-,11.2,0,0,0,186,21,2330,182,65,115,2,t0218,2022-01-24
dolnośląskie,świdnicki,-,-,157,-,-,10.03,0,0,0,273,91,6187,608,189,411,8,t0219,2022-01-24
dolnośląskie,trzebnicki,-,-,71,-,-,8.31,0,0,0,137,23,2241,209,77,129,3,t0220,2022-01-24
dolnośląskie,wałbrzyski,-,-,59,-,-,10.65,0,0,0,178,17,1855,264,83,179,2,t0221,2022-01-24
dolnośląskie,wołowski,-,-,45,-,-,9.63,0,0,0,67,19,1725,150,59,86,5,t0222,2022-01-24
dolnośląskie,wrocławski,-,-,332,-,-,21.58,0,0,0,523,145,7050,961,383,555,23,t0223,2022-01-24
dolnośląskie,ząbkowicki,-,-,38,-,-,5.89,2,0,2,140,21,1537,141,42,98,1,t0224,2022-01-24
dolnośląskie,zgorzelecki,-,-,78,-,-,8.79,0,0,0,152,16,2303,187,91,92,4,t0225,2022-01-24
