wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,6768,812,7580,1.76,0.21,1.98,10,1,9,551,5947,57992,48952,8157,40135,660,t0000,2022-03-12
dolnośląskie,bolesławiecki,6,1,7,0.67,0.11,0.78,0,0,0,0,7,104,81,8,71,2,t0201,2022-03-12
dolnośląskie,dzierżoniowski,1,0,1,0.1,0.0,0.1,0,0,0,0,2,77,41,2,39,0,t0202,2022-03-12
dolnośląskie,głogowski,20,0,20,2.25,0.0,2.25,0,0,0,0,12,165,109,20,89,0,t0203,2022-03-12
dolnośląskie,górowski,9,1,10,2.59,0.29,2.88,0,0,0,0,5,70,32,10,22,0,t0204,2022-03-12
dolnośląskie,jaworski,12,3,15,2.4,0.6,3.0,0,0,0,0,3,60,48,16,20,12,t0205,2022-03-12
dolnośląskie,jeleniogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,10,48,38,1,37,0,t0206,2022-03-12
dolnośląskie,kamiennogórski,2,0,2,0.46,0.0,0.46,0,0,0,0,3,24,12,2,10,0,t0207,2022-03-12
dolnośląskie,kłodzki,9,3,12,0.57,0.19,0.76,0,0,0,0,6,143,198,15,183,0,t0208,2022-03-12
dolnośląskie,legnicki,12,1,13,2.17,0.18,2.35,0,0,0,0,4,70,44,13,29,2,t0209,2022-03-12
dolnośląskie,lubański,4,0,4,0.74,0.0,0.74,0,0,0,0,7,75,34,4,30,0,t0210,2022-03-12
dolnośląskie,lubiński,19,8,27,1.79,0.75,2.54,0,0,0,0,15,125,107,29,74,4,t0211,2022-03-12
dolnośląskie,lwówecki,4,0,4,0.87,0.0,0.87,0,0,0,0,1,59,36,5,31,0,t0212,2022-03-12
dolnośląskie,milicki,1,0,1,0.27,0.0,0.27,0,0,0,1,5,67,27,1,26,0,t0213,2022-03-12
dolnośląskie,oleśnicki,7,0,7,0.65,0.0,0.65,0,0,0,1,9,110,64,8,56,0,t0214,2022-03-12
dolnośląskie,oławski,16,1,17,2.08,0.13,2.21,0,0,0,4,15,127,71,19,52,0,t0215,2022-03-12
dolnośląskie,polkowicki,18,1,19,2.85,0.16,3.01,0,0,0,0,11,107,80,20,54,6,t0216,2022-03-12
dolnośląskie,strzeliński,2,1,3,0.46,0.23,0.69,0,0,0,0,0,60,28,4,24,0,t0217,2022-03-12
dolnośląskie,średzki,10,2,12,1.81,0.36,2.17,0,0,0,0,10,83,59,13,40,6,t0218,2022-03-12
dolnośląskie,świdnicki,17,3,20,1.09,0.19,1.28,0,0,0,2,7,144,93,22,67,4,t0219,2022-03-12
dolnośląskie,trzebnicki,8,1,9,0.94,0.12,1.05,0,0,0,0,8,110,49,9,40,0,t0220,2022-03-12
dolnośląskie,wałbrzyski,3,0,3,0.54,0.0,0.54,0,0,0,0,1,35,25,3,22,0,t0221,2022-03-12
dolnośląskie,wołowski,6,1,7,1.28,0.21,1.5,0,0,0,0,7,60,38,7,31,0,t0222,2022-03-12
dolnośląskie,wrocławski,32,7,39,2.08,0.45,2.53,0,0,0,0,38,283,156,41,114,1,t0223,2022-03-12
dolnośląskie,ząbkowicki,5,0,5,0.78,0.0,0.78,0,0,0,0,2,55,54,5,49,0,t0224,2022-03-12
dolnośląskie,zgorzelecki,14,1,15,1.58,0.11,1.69,0,0,0,0,21,272,66,15,50,1,t0225,2022-03-12
dolnośląskie,złotoryjski,1,0,1,0.23,0.0,0.23,0,0,0,0,3,52,15,1,14,0,t0226,2022-03-12
dolnośląskie,Jelenia Góra,2,0,2,0.25,0.0,0.25,0,0,0,3,17,76,30,2,27,1,t0261,2022-03-12
dolnośląskie,Legnica,24,1,25,2.42,0.1,2.52,0,0,0,0,8,269,89,26,60,3,t0262,2022-03-12
dolnośląskie,Wrocław,191,14,205,2.97,0.22,3.18,0,0,0,5,173,1305,850,211,631,8,t0264,2022-03-12
dolnośląskie,Wałbrzych,24,1,25,2.17,0.09,2.26,0,0,0,1,8,99,88,28,59,1,t0265,2022-03-12
kujawsko-pomorskie,aleksandrowski,18,1,19,3.27,0.18,3.45,1,0,1,1,8,112,67,19,47,1,t0401,2022-03-12
kujawsko-pomorskie,brodnicki,8,3,11,1.01,0.38,1.39,0,0,0,0,12,104,73,13,59,1,t0402,2022-03-12
kujawsko-pomorskie,bydgoski,45,8,53,3.77,0.67,4.44,0,0,0,2,57,310,235,55,176,4,t0403,2022-03-12
kujawsko-pomorskie,chełmiński,4,1,5,0.77,0.19,0.96,0,0,0,0,29,122,28,5,22,1,t0404,2022-03-12
kujawsko-pomorskie,golubsko-dobrzyński,2,4,6,0.44,0.89,1.33,0,0,0,0,7,100,57,6,50,1,t0405,2022-03-12
kujawsko-pomorskie,grudziądzki,6,0,6,1.49,0.0,1.49,0,0,0,2,4,105,45,6,39,0,t0406,2022-03-12
kujawsko-pomorskie,inowrocławski,59,6,65,3.7,0.38,4.08,0,0,0,3,68,363,232,71,152,9,t0407,2022-03-12
kujawsko-pomorskie,lipnowski,6,0,6,0.91,0.0,0.91,0,0,0,0,11,90,44,8,36,0,t0408,2022-03-12
kujawsko-pomorskie,mogileński,9,2,11,1.98,0.44,2.42,0,0,0,0,12,83,61,11,47,3,t0409,2022-03-12
kujawsko-pomorskie,nakielski,17,1,18,1.97,0.12,2.09,0,0,0,0,15,231,102,18,78,6,t0410,2022-03-12
kujawsko-pomorskie,radziejowski,5,1,6,1.24,0.25,1.49,0,0,0,0,14,119,46,6,38,2,t0411,2022-03-12
